Code,Description,Relative Value,FUD,PC/TC Split,schedule
73560,"Radiologic examination, knee; 1 or 2 views",1.40,XXX,40/60,chiropractic
73562,"Radiologic examination, knee; 3 views",1.66,XXX,40/60,chiropractic
73564,"Radiologic examination, knee; complete, 4 or more views",1.86,XXX,40/60,chiropractic
73565,"Radiologic examination, knee; both knees, standing, anteroposterior",1.40,XXX,40/60,chiropractic
73590,"Radiologic examination; tibia and fibula, 2 views",1.53,XXX,40/60,chiropractic
73600,"Radiologic examination, ankle; 2 views",1.38,XXX,40/60,chiropractic
73610,"Radiologic examination, ankle; complete, minimum of 3 views",1.48,XXX,40/60,chiropractic
73620,"Radiologic examination, foot; 2 views",1.43,XXX,40/60,chiropractic
73630,"Radiologic examination, foot; complete, minimum of 3 views",1.48,XXX,40/60,chiropractic
73650,"Radiologic examination; calcaneus, minimum of 2 views",1.28,XXX,40/60,chiropractic
73660,"Radiologic examination; toe(s), minimum of 2 views",1.12,XXX,40/60,chiropractic
76080,"Radiologic examination, abscess, fistula or sinus tract study, radiological supervision and interpretation",2.35,XXX,35/65,chiropractic
76999,"Unlisted ultrasound procedure (eg, diagnostic, interventional)",BR,XXX,,chiropractic
