Code,Relative value,pc/tc splits,schedule
86780,20.95,0/100,medical
86784,24.64,0/100,medical
86787,27.11,0/100,medical
86788,27.72,0/100,medical
86789,27.72,0/100,medical
86790,33.89,0/100,medical
86793,24.64,0/100,medical
86794,18.75,0/100,medical
86800,26.49,0/100,medical
86803,30.19,0/100,medical
86804,43.13,0/100,medical
86805,91.18,0/100,medical
86806,30.19,0/100,medical
86807,30.19,0/100,medical
86808,33.89,0/100,medical
86812,43.13,0/100,medical
86813,61.61,0/100,medical
86816,58.53,0/100,medical
86817,168.20,0/100,medical
86821,131.23,0/100,medical
86825,105.05,0/100,medical
86826,34.91,0/100,medical
86828,57.53,0/100,medical
86829,57.53,0/100,medical
86830,89.53,0/100,medical
86831,76.60,0/100,medical
86832,290.56,0/100,medical
86833,292.50,0/100,medical
86834,396.24,0/100,medical
86835,358.11,0/100,medical
86849,BR,,medical
86850,12.32,0/100,medical
86860,12.32,0/100,medical
86870,21.56,0/100,medical
86880,6.78,0/100,medical
86885,8.63,0/100,medical
86886,11.09,0/100,medical
86890,49.29,0/100,medical
86891,77.01,0/100,medical
86900,6.78,0/100,medical
86901,6.16,0/100,medical
86902,6.78,0/100,medical
86904,9.24,0/100,medical
86905,7.39,0/100,medical
86906,10.47,0/100,medical
86910,13.55,0/100,medical
86911,10.47,0/100,medical
86920,13.55,0/100,medical
86921,12.32,0/100,medical
86922,7.39,0/100,medical
86923,15.40,0/100,medical
86927,6.78,0/100,medical
86930,61.61,0/100,medical
86931,67.77,0/100,medical
86932,73.93,0/100,medical
86940,12.94,0/100,medical
86941,13.55,0/100,medical
86945,18.48,0/100,medical
86950,33.89,0/100,medical
86960,12.32,0/100,medical
86965,8.63,0/100,medical
86970,9.86,0/100,medical
86971,9.86,0/100,medical
86972,9.24,0/100,medical
86975,6.16,0/100,medical
86976,4.93,0/100,medical
86977,6.16,0/100,medical
86978,13.55,0/100,medical
86985,12.94,0/100,medical
86999,BR,,medical
87003,24.64,0/100,medical
87015,12.94,0/100,medical
87040,17.25,0/100,medical
87045,17.25,0/100,medical
87046,17.25,0/100,medical
87070,16.64,0/100,medical
87071,17.25,0/100,medical
87073,19.10,0/100,medical
87075,19.10,0/100,medical
87076,19.10,0/100,medical
87077,19.10,0/100,medical
87081,9.86,0/100,medical
87084,12.32,0/100,medical
87086,15.40,0/100,medical
87088,14.79,0/100,medical
87101,12.94,0/100,medical
87102,16.02,0/100,medical
87103,18.48,0/100,medical
87106,16.63,0/100,medical
87107,16.63,0/100,medical
87109,35.43,0/100,medical
87110,24.64,0/100,medical
87116,19.72,0/100,medical
87118,16.02,0/100,medical
87140,9.86,0/100,medical
87143,23.41,0/100,medical
87147,8.63,0/100,medical
87149,24.64,0/100,medical
87150,24.64,0/100,medical
87152,8.63,0/100,medical
87153,25.88,0/100,medical
87158,8.32,0/100,medical
87164,18.48,80/20,medical
87166,15.40,0/100,medical
87168,4.93,0/100,medical
87169,4.93,0/100,medical
87172,4.93,0/100,medical
87176,11.09,0/100,medical
87177,18.48,0/100,medical
87181,10.47,0/100,medical
87184,12.32,0/100,medical
87185,12.32,0/100,medical
87186,14.17,0/100,medical
87187,14.17,0/100,medical
87188,14.17,0/100,medical
87190,9.24,0/100,medical
87197,19.72,0/100,medical
87205,8.01,0/100,medical
87206,14.17,0/100,medical
87207,16.02,0/100,medical
87209,8.01,0/100,medical
87210,7.39,0/100,medical
87220,9.24,0/100,medical
87230,27.72,0/100,medical
87250,33.27,0/100,medical
87252,30.81,0/100,medical
87253,30.81,0/100,medical
87254,30.81,0/100,medical
87255,30.81,0/100,medical
87260,24.64,0/100,medical
87265,24.64,0/100,medical
87267,24.64,0/100,medical
87269,24.64,0/100,medical
87270,24.64,0/100,medical
87271,24.64,0/100,medical
87272,24.64,0/100,medical
87273,24.64,0/100,medical
87274,24.64,0/100,medical
87275,24.64,0/100,medical
87276,24.64,0/100,medical
87278,24.64,0/100,medical
87279,24.64,0/100,medical
87280,24.64,0/100,medical
87281,24.64,0/100,medical
87283,24.64,0/100,medical
87285,24.64,0/100,medical
87290,24.64,0/100,medical
87299,24.64,0/100,medical
87300,19.72,0/100,medical
87301,13.55,0/100,medical
87305,19.72,0/100,medical
87320,13.55,0/100,medical
87324,13.55,0/100,medical
87327,13.55,0/100,medical
87328,13.55,0/100,medical
87329,13.55,0/100,medical
87332,13.55,0/100,medical
87335,13.55,0/100,medical
87336,13.55,0/100,medical
87337,13.55,0/100,medical
87338,19.72,0/100,medical
87339,13.55,0/100,medical
87340,17.87,0/100,medical
87341,13.55,0/100,medical
87350,20.95,0/100,medical
87380,23.41,0/100,medical
87385,13.55,0/100,medical
87389,31.45,0/100,medical
87390,28.96,0/100,medical
87391,28.96,0/100,medical
87400,13.55,0/100,medical
87420,13.55,0/100,medical
87425,13.55,0/100,medical
87427,13.55,0/100,medical
87430,13.55,0/100,medical
87449,13.55,0/100,medical
87450,13.55,0/100,medical
87451,19.72,0/100,medical
87471,49.29,0/100,medical
87472,49.60,0/100,medical
87475,24.64,0/100,medical
87476,49.29,0/100,medical
87480,24.64,0/100,medical
87481,49.29,0/100,medical
87482,49.60,0/100,medical
87483,461.85,0/100,medical
87485,24.64,0/100,medical
87486,49.29,0/100,medical
87487,49.60,0/100,medical
87490,24.64,0/100,medical
87491,49.29,0/100,medical
87492,49.60,0/100,medical
87493,44.36,0/100,medical
87495,24.64,0/100,medical
87496,49.29,0/100,medical
87497,49.60,0/100,medical
87498,67.77,0/100,medical
87500,67.77,0/100,medical
87501,67.77,0/100,medical
87502,67.77,0/100,medical
87503,67.77,0/100,medical
87505,142.21,0/100,medical
87506,236.58,0/100,medical
87507,461.85,0/100,medical
87510,24.64,0/100,medical
87511,49.29,0/100,medical
87512,49.60,0/100,medical
87516,49.29,0/100,medical
87517,49.60,0/100,medical
87520,24.64,0/100,medical
87521,49.29,0/100,medical
87522,49.60,0/100,medical
87525,24.64,0/100,medical
87526,49.29,0/100,medical
87527,49.60,0/100,medical
87528,24.64,0/100,medical
87529,49.29,0/100,medical
87530,49.60,0/100,medical
87531,24.64,0/100,medical
87532,49.29,0/100,medical
87533,49.60,0/100,medical
87534,24.64,0/100,medical
87535,49.29,0/100,medical
87536,49.60,0/100,medical
87537,24.64,0/100,medical
87538,49.29,0/100,medical
87539,49.60,0/100,medical
87540,24.64,0/100,medical
87541,49.29,0/100,medical
87542,49.60,0/100,medical
87550,24.64,0/100,medical
87551,49.29,0/100,medical
87552,49.60,0/100,medical
87555,24.64,0/100,medical
87556,49.29,0/100,medical
87557,49.60,0/100,medical
87560,24.64,0/100,medical
87561,49.29,0/100,medical
87562,49.60,0/100,medical
87580,24.64,0/100,medical
87581,49.29,0/100,medical
87582,49.60,0/100,medical
87590,24.64,0/100,medical
87591,49.29,0/100,medical
87592,49.60,0/100,medical
87623,38.78,0/100,medical
87624,38.78,0/100,medical
87625,38.78,0/100,medical
87631,142.21,0/100,medical
87632,236.58,0/100,medical
87633,461.85,0/100,medical
87634,77.89,0/100,medical
87640,49.29,0/100,medical
87641,49.29,0/100,medical
87650,24.64,0/100,medical
87651,49.29,0/100,medical
87652,49.60,0/100,medical
87653,49.29,0/100,medical
87660,24.64,0/100,medical
87661,38.78,0/100,medical
87662,56.88,0/100,medical
87797,24.64,0/100,medical
87798,49.29,0/100,medical
87799,49.60,0/100,medical
87800,52.53,0/100,medical
87801,91.84,0/100,medical
87802,21.56,0/100,medical
87803,21.56,0/100,medical
87804,21.56,0/100,medical
87806,29.41,0/100,medical
87807,21.56,0/100,medical
87808,24.64,0/100,medical
87809,24.64,0/100,medical
87810,21.56,0/100,medical
87850,21.56,0/100,medical
87880,21.56,0/100,medical
87899,21.56,0/100,medical
87900,170.47,0/100,medical
87901,273.55,0/100,medical
87902,273.55,0/100,medical
87903,492.88,0/100,medical
87904,138.01,0/100,medical
87905,30.81,0/100,medical
87906,30.81,0/100,medical
87910,285.39,0/100,medical
87912,285.39,0/100,medical
87999,BR,,medical
88000,155.26,,medical
88005,172.51,,medical
88007,189.76,,medical
88012,142.94,,medical
88014,142.94,,medical
88016,173.74,,medical
88020,223.03,,medical
88025,240.28,,medical
88027,257.53,,medical
88028,142.94,,medical
88029,142.94,,medical
88036,92.42,,medical
88037,67.77,,medical
88040,369.66,,medical
88045,30.81,,medical
88099,BR,,medical
88104,30.81,80/20,medical
88106,27.11,80/20,medical
88108,35.12,80/20,medical
88112,73.93,80/20,medical
88120,252.60,11/89,medical
88121,215.64,11/89,medical
88125,24.64,90/10,medical
88130,15.40,10/90,medical
88140,12.32,0/100,medical
88141,15.40,,medical
88142,10.47,0/100,medical
88143,11.52,0/100,medical
88147,11.00,0/100,medical
88148,11.52,0/100,medical
88150,10.47,0/100,medical
88152,11.00,0/100,medical
88153,11.52,0/100,medical
88155,11.55,0/100,medical
88160,21.56,80/20,medical
88161,24.64,70/30,medical
88162,41.28,70/30,medical
88164,10.47,0/100,medical
88165,11.52,0/100,medical
88166,11.00,0/100,medical
88167,12.04,0/100,medical
88172,44.36,,medical
88173,57.91,85/15,medical
88174,11.09,0/100,medical
88175,12.01,0/100,medical
88177,8.63,75/25,medical
88182,156.49,20/80,medical
88184,67.16,0/100,medical
88185,33.27,0/100,medical
88187,49.29,,medical
88188,61.61,,medical
88189,81.33,,medical
88199,BR,,medical
88230,66.54,0/100,medical
88233,25.26,0/100,medical
88235,141.70,0/100,medical
88237,109.05,0/100,medical
88239,43.13,0/100,medical
88240,61.61,0/100,medical
88241,67.77,0/100,medical
88245,83.17,0/100,medical
88248,166.35,0/100,medical
88249,184.83,0/100,medical
88261,144.78,0/100,medical
88262,215.64,0/100,medical
88263,221.80,0/100,medical
88264,184.83,0/100,medical
88267,243.36,0/100,medical
88269,213.79,0/100,medical
88271,27.99,0/100,medical
88272,34.91,0/100,medical
88273,42.15,0/100,medical
88274,45.61,0/100,medical
88275,52.53,0/100,medical
88280,70.24,0/100,medical
88283,55.45,0/100,medical
88285,64.69,0/100,medical
88289,46.21,0/100,medical
88291,24.64,,medical
88299,BR,,medical
88300,17.25,70/30,medical
88302,33.89,60/40,medical
88304,44.36,60/40,medical
88305,64.07,70/30,medical
88307,102.89,75/25,medical
88309,142.94,75/25,medical
88311,16.63,80/20,medical
88312,24.64,80/20,medical
88313,18.48,80/20,medical
88314,33.89,70/30,medical
88319,41.89,80/20,medical
88321,55.45,,medical
88323,64.69,80/20,medical
88325,86.25,,medical
88329,40.66,,medical
88331,78.24,75/25,medical
88332,46.82,75/25,medical
88333,49.29,75/25,medical
88334,25.26,75/25,medical
88341,85.00,32/68,medical
88342,61.61,80/20,medical
88344,160.31,23/77,medical
88346,44.98,80/20,medical
88348,184.83,70/30,medical
88350,66.26,41/59,medical
88355,147.25,75/25,medical
88356,135.54,75/25,medical
88358,121.99,75/25,medical
88360,72.70,55/45,medical
88361,78.25,80/20,medical
88362,83.17,75/25,medical
88363,19.72,,medical
88364,121.20,27/73,medical
88365,84.41,50/50,medical
88366,240.78,24/76,medical
88367,138.62,35/65,medical
88368,125.68,40/60,medical
88369,100.19,30/70,medical
88371,36.97,20/80,medical
88372,52.37,20/80,medical
88373,72.07,36/64,medical
88374,315.44,13/87,medical
88375,46.86,,medical
88377,374.91,16/84,medical
88380,86.25,41/59,medical
88381,120.14,27/73,medical
88387,19.72,80/20,medical
88388,12.32,83/17,medical
88399,BR,,medical
88720,6.16,,medical
88738,6.16,,medical
88740,6.16,,medical
88741,6.16,,medical
88749,0.00,,medical
89049,75.16,,medical
89050,9.86,0/100,medical
89051,11.71,0/100,medical
89055,9.86,0/100,medical
89060,11.71,0/100,medical
89125,9.24,0/100,medical
89160,5.54,0/100,medical
89190,8.63,0/100,medical
89220,12.94,0/100,medical
89230,24.64,0/100,medical
89240,BR,0/100,medical
89250,414.64,0/100,medical
89251,431.27,0/100,medical
89253,BR,0/100,medical
89254,BR,0/100,medical
89255,BR,0/100,medical
89257,BR,0/100,medical
89258,BR,0/100,medical
89259,BR,0/100,medical
89260,BR,0/100,medical
89261,BR,0/100,medical
89264,BR,0/100,medical
89268,BR,0/100,medical
89272,BR,0/100,medical
89280,BR,0/100,medical
89281,BR,0/100,medical
89290,BR,0/100,medical
89291,BR,0/100,medical
89300,21.56,0/100,medical
89310,20.33,0/100,medical
89320,30.81,0/100,medical
89321,18.48,0/100,medical
89322,43.13,0/100,medical
89325,52.37,0/100,medical
89329,138.62,0/100,medical
89330,35.12,0/100,medical
89331,25.48,0/100,medical
89335,BR,0/100,medical
89337,BR,,medical
89342,BR,0/100,medical
89343,BR,0/100,medical
89344,BR,0/100,medical
89346,BR,0/100,medical
89352,BR,0/100,medical
89353,BR,0/100,medical
89354,BR,0/100,medical
89356,BR,0/100,medical
89398,BR,,medical
