Code,Description,Basic Unit,schedule
600,Anesthesia for procedures on cervical spine and cord; not otherwise specified,10.0,medical
604,Anesthesia for procedures on cervical spine and cord; procedures with patient in the sitting position,13.0,medical
620,"Anesthesia for procedures on thoracic spine and cord, not otherwise specified",10.0,medical
625,"Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; not utilizing 1 lung ventilation",13.0,medical
626,"Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; utilizing 1 lung ventilation",15.0,medical
630,Anesthesia for procedures in lumbar region; not otherwise specified,8.0,medical
632,Anesthesia for procedures in lumbar region; lumbar sympathectomy,7.0,medical
635,Anesthesia for procedures in lumbar region; diagnostic or therapeutic lumbar puncture,4.0,medical
640,"Anesthesia for manipulation of the spine or for closed procedures on the cervical, thoracic or lumbar spine",3.0,medical
670,"Anesthesia for extensive spine and spinal cord procedures (eg, spinal instrumentation or vascular procedures)",13.0,medical
700,Anesthesia for procedures on upper anterior abdominal wall; not otherwise specified,4.0,medical
702,Anesthesia for procedures on upper anterior abdominal wall; percutaneous liver biopsy,4.0,medical
730,Anesthesia for procedures on upper posterior abdominal wall,5.0,medical
731,"Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum; not otherwise specified",5.0,medical
732,"Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum; endoscopic retrograde cholangiopancreatography (ERCP)",6.0,medical
750,Anesthesia for hernia repairs in upper abdomen; not otherwise specified,4.0,medical
752,Anesthesia for hernia repairs in upper abdomen; lumbar and ventral (incisional) hernias and/or wound dehiscence,6.0,medical
754,"Anesthesia for hernia repairs in upper abdomen, omphalocele",7.0,medical
756,Anesthesia for hernia repairs in upper abdomen; transabdominal repair of diaphragmatic hernia,7.0,medical
770,Anesthesia for all procedures on major abdominal blood vessels,15.0,medical
790,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; not otherwise specified,7.0,medical
792,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; partial hepatectomy or management of liver hemorrhage (excluding liver biopsy),13.0,medical
794,"Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; pancreatectomy, partial or total (eg, Whipple procedure)",8.0,medical
796,"Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy, liver transplant (recipient)",30.0,medical
797,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; gastric restrictive procedure for morbid obesity,11.0,medical
800,Anesthesia for procedures on lower anterior abdominal wall; not otherwise specified,4.0,medical
802,Anesthesia for procedures on lower anterior abdominal wall; panniculectomy,5.0,medical
811,"Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum; not otherwise specified",4.0,medical
812,"Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum; screening colonoscopy",4.0,medical
813,"Anesthesia for combined upper and lower gastrointestinal endoscopic procedures, endoscope introduced both proximal to and distal to the duodenum",5.0,medical
820,Anesthesia for procedures on lower posterior abdominal wall,5.0,medical
830,Anesthesia for hernia repairs in lower abdomen; not otherwise specified,4.0,medical
832,Anesthesia for hernia repairs in lower abdomen; ventral and incisional hernias,6.0,medical
834,"Anesthesia for hernia repairs in the lower abdomen not otherwise specified, younger than 1 year of age",5.0,medical
836,"Anesthesia for hernia repairs in the lower abdomen not otherwise specified, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery",6.0,medical
840,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; not otherwise specified,6.0,medical
842,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; amniocentesis,4.0,medical
844,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; abdominoperineal resection,7.0,medical
846,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; radical hysterectomy,8.0,medical
848,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; pelvic exenteration,8.0,medical
851,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; tubal ligation/transection,6.0,medical
860,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; not otherwise specified",6.0,medical
862,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal procedures, including upper one-third of ureter, or donor nephrectomy",7.0,medical
864,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; total cystectomy",8.0,medical
865,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; radical prostatectomy (suprapubic, retropubic)",7.0,medical
866,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; adrenalectomy",10.0,medical
868,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal transplant (recipient)",10.0,medical
870,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; cystolithotomy",5.0,medical
872,"Anesthesia for lithotripsy, extracorporeal shock wave; with water bath",7.0,medical
873,"Anesthesia for lithotripsy, extracorporeal shock wave; without water bath",5.0,medical
880,Anesthesia for procedures on major lower abdominal vessels; not otherwise specified,15.0,medical
882,Anesthesia for procedures on major lower abdominal vessels; inferior vena cava ligation,10.0,medical
902,Anesthesia for; anorectal procedure,5.0,medical
904,"Anesthesia for, radical perineal procedure",7.0,medical
906,Anesthesia for; vulvectomy,4.0,medical
908,"Anesthesia for, perineal prostatectomy",6.0,medical
910,Anesthesia for transurethral procedures (including urethrocystoscopy); not otherwise specified,3.0,medical
912,Anesthesia for transurethral procedures (including urethrocystoscopy); transurethral resection of bladder tumor(s),5.0,medical
914,Anesthesia for transurethral procedures (including urethrocystoscopy); transurethral resection of prostate,5.0,medical
916,Anesthesia for transurethral procedures (including urethrocystoscopy); post-transurethral resection bleeding,5.0,medical
918,"Anesthesia for transurethral procedures (including urethrocystoscopy); with fragmentation, manipulation and/or removal of ureteral calculus",5.0,medical
920,Anesthesia for procedures on male genitalia (including open urethral procedures); not otherwise specified,3.0,medical
921,"Anesthesia for procedures on male genitalia (including open urethral procedures); vasectomy, unilateral or bilateral",3.0,medical
922,Anesthesia for procedures on male genitalia (including open urethral procedures); seminal vesicles,6.0,medical
924,"Anesthesia for procedures on male genitalia (including open urethral procedures); undescended testis, unilateral or bilateral",4.0,medical
926,"Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, inguinal",4.0,medical
928,"Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, abdominal",6.0,medical
930,"Anesthesia for procedures on male genitalia (including open urethral procedures); orchiopexy, unilateral or bilateral",4.0,medical
932,Anesthesia for procedures on male genitalia (including open urethral procedures); complete amputation of penis,4.0,medical
