Code,Relative Value,PC/TC Split,schedule
27842,4.32,,podiatry
27846,7.90,,podiatry
27848,7.90,,podiatry
27860,3.23,,podiatry
27870,12.07,,podiatry
27871,11.36,,podiatry
27888,11.21,,podiatry
27889,11.21,,podiatry
27892,5.18,,podiatry
27893,5.18,,podiatry
27894,7.77,,podiatry
27899,BR,,podiatry
28001,3.23,,podiatry
28002,3.67,,podiatry
28003,3.67,,podiatry
28005,4.74,,podiatry
28008,3.23,,podiatry
28010,3.23,,podiatry
28011,3.23,,podiatry
28020,5.18,,podiatry
28022,3.23,,podiatry
28024,3.23,,podiatry
28035,5.24,,podiatry
28039,3.42,,podiatry
28041,4.14,,podiatry
28043,3.23,,podiatry
28045,3.67,,podiatry
28046,14.32,,podiatry
28047,8.07,,podiatry
28050,3.95,,podiatry
28052,3.23,,podiatry
28054,3.23,,podiatry
28055,3.31,,podiatry
28060,4.74,,podiatry
28062,6.04,,podiatry
28070,3.95,,podiatry
28072,3.23,,podiatry
28080,3.88,,podiatry
28086,4.15,,podiatry
28088,3.26,,podiatry
28090,3.23,,podiatry
28092,3.23,,podiatry
28100,4.74,,podiatry
28102,5.18,,podiatry
28103,4.74,,podiatry
28104,3.62,,podiatry
28106,5.18,,podiatry
28107,5.18,,podiatry
28108,4.10,,podiatry
28110,3.23,,podiatry
28111,4.64,,podiatry
28112,3.23,,podiatry
28113,3.23,,podiatry
28114,7.90,,podiatry
28116,6.04,,podiatry
28118,6.47,,podiatry
28119,6.91,,podiatry
28120,4.32,,podiatry
28122,4.32,,podiatry
28124,3.23,,podiatry
28126,3.67,,podiatry
28130,12.07,,podiatry
28140,4.74,,podiatry
28150,3.23,,podiatry
28153,3.23,,podiatry
28160,3.23,,podiatry
28171,10.77,,podiatry
28173,6.91,,podiatry
28175,5.18,,podiatry
28190,3.23,,podiatry
28192,3.67,,podiatry
28193,4.10,,podiatry
28200,3.95,,podiatry
28202,4.91,,podiatry
28208,3.23,,podiatry
28210,3.23,,podiatry
28220,3.26,,podiatry
28222,3.95,,podiatry
28225,3.23,,podiatry
28226,3.23,,podiatry
28230,3.23,,podiatry
28232,3.23,,podiatry
28234,3.23,,podiatry
28238,4.66,,podiatry
28240,3.23,,podiatry
28250,3.26,,podiatry
28260,5.24,,podiatry
28261,5.93,,podiatry
28262,9.19,,podiatry
28264,7.90,,podiatry
28270,3.23,,podiatry
28272,3.23,,podiatry
28280,4.10,,podiatry
28285,3.23,,podiatry
28286,3.23,,podiatry
28288,3.23,,podiatry
28291,5.24,,podiatry
28292,5.18,,podiatry
28296,7.77,,podiatry
28297,6.21,,podiatry
28298,5.61,,podiatry
28299,7.56,,podiatry
28300,6.91,,podiatry
28302,5.93,,podiatry
28304,5.24,,podiatry
28305,5.93,,podiatry
28306,4.64,,podiatry
28307,5.18,,podiatry
28308,3.45,,podiatry
28309,6.47,,podiatry
28310,3.23,,podiatry
28312,3.23,,podiatry
28313,3.23,,podiatry
28315,3.23,,podiatry
28320,4.32,,podiatry
28322,4.32,,podiatry
28340,5.80,,podiatry
28341,6.93,,podiatry
28344,3.43,,podiatry
28345,4.87,,podiatry
28360,11.02,,podiatry
28400,1.94,,podiatry
28405,2.59,,podiatry
28406,4.32,,podiatry
28415,9.49,,podiatry
28420,10.35,,podiatry
28430,1.51,,podiatry
28435,2.67,,podiatry
28436,3.67,,podiatry
28445,7.77,,podiatry
28446,7.76,,podiatry
28450,1.28,,podiatry
28455,2.15,,podiatry
28456,3.45,,podiatry
28465,4.10,,podiatry
28470,1.48,,podiatry
28475,2.37,,podiatry
28476,3.23,,podiatry
28485,3.95,,podiatry
28490,0.69,,podiatry
28495,0.69,,podiatry
28496,3.23,,podiatry
28505,3.23,,podiatry
28510,0.64,,podiatry
28515,0.86,,podiatry
28525,3.23,,podiatry
28530,1.03,,podiatry
28531,3.23,,podiatry
28540,1.08,,podiatry
28545,3.23,,podiatry
28546,3.88,,podiatry
28555,3.88,,podiatry
28570,1.08,,podiatry
28575,3.23,,podiatry
28576,3.88,,podiatry
28585,4.74,,podiatry
28600,0.49,,podiatry
28605,3.23,,podiatry
28606,4.10,,podiatry
28615,4.74,,podiatry
28630,0.86,,podiatry
28635,3.23,,podiatry
28636,4.10,,podiatry
28645,4.10,,podiatry
28660,0.40,,podiatry
28665,0.94,,podiatry
28666,3.23,,podiatry
28675,3.23,,podiatry
28705,13.80,,podiatry
28715,12.07,,podiatry
28725,8.63,,podiatry
28730,7.77,,podiatry
28735,7.77,,podiatry
28737,6.21,,podiatry
28740,3.67,,podiatry
28750,4.64,,podiatry
28755,3.45,,podiatry
28760,5.18,,podiatry
28800,7.77,,podiatry
28805,7.77,,podiatry
28810,5.18,,podiatry
28820,3.67,,podiatry
28825,3.23,,podiatry
28890,2.79,,podiatry
28899,BR,,podiatry
29345,0.64,,podiatry
29355,0.84,,podiatry
29358,0.84,,podiatry
29365,0.41,,podiatry
29405,0.49,,podiatry
29425,0.59,,podiatry
29435,0.74,,podiatry
29440,0.20,,podiatry
29450,0.30,,podiatry
29505,0.44,,podiatry
29515,0.35,,podiatry
29540,0.21,,podiatry
29550,0.13,,podiatry
29580,0.29,,podiatry
29581,0.44,,podiatry
29700,0.25,,podiatry
29730,0.15,,podiatry
29740,0.20,,podiatry
29750,0.20,,podiatry
29799,BR,,podiatry
