code,relative value,pc/tc split,schedule
15931,4.49,,medical
15933,10.30,,medical
15934,6.28,,medical
15935,7.63,,medical
15936,4.49,,medical
15937,5.84,,medical
15940,4.49,,medical
15941,7.90,,medical
15944,10.80,,medical
15945,10.80,,medical
15946,10.80,,medical
15950,5.30,,medical
15951,7.20,,medical
15952,8.20,,medical
15953,8.30,,medical
15956,4.49,,medical
15958,5.84,,medical
15999,BR,,medical
16000,0.25,,medical
16020,0.38,,medical
16025,0.61,,medical
16030,0.90,,medical
16035,2.50,,medical
16036,1.12,,medical
17000,0.26,,medical
17003,0.13,,medical
17004,1.08,,medical
17106,1.24,,medical
17107,2.50,,medical
17108,3.54,,medical
17110,0.27,,medical
17111,BR,,medical
17250,0.22,,medical
17260,0.45,,medical
17261,0.61,,medical
17262,0.74,,medical
17263,0.83,,medical
17264,0.92,,medical
17266,1.14,,medical
17270,0.54,,medical
17271,0.67,,medical
17272,0.81,,medical
17273,0.97,,medical
17274,1.05,,medical
17276,1.19,,medical
17280,0.65,,medical
17281,0.79,,medical
17282,0.92,,medical
17283,1.05,,medical
17284,1.19,,medical
17286,1.32,,medical
17311,3.32,,medical
17312,2.02,,medical
17313,3.05,,medical
17314,1.89,,medical
17315,0.40,,medical
17340,0.15,,medical
17360,0.15,,medical
17380,0.22,,medical
17999,BR,,medical
19000,0.22,,medical
19001,0.25,,medical
19020,1.70,,medical
19030,0.32,,medical
19081,4.35,,medical
19082,3.59,,medical
19083,4.23,,medical
19084,3.45,,medical
19085,6.32,,medical
19086,5.12,,medical
19100,0.43,,medical
19101,1.80,,medical
19105,11.22,,medical
19110,2.02,,medical
19112,2.11,,medical
19120,2.45,,medical
19125,2.69,,medical
19126,1.35,,medical
19260,6.18,,medical
19271,9.95,,medical
19272,10.85,,medical
19281,0.74,,medical
19282,1.05,,medical
19283,1.71,,medical
19284,1.29,,medical
19285,3.26,,medical
19286,2.86,,medical
19287,5.41,,medical
19288,4.37,,medical
19294,1.25,,medical
19296,35.02,,medical
19297,0.70,,medical
19298,13.29,,medical
19300,3.59,,medical
19301,2.78,,medical
19302,6.28,,medical
19303,4.85,,medical
19304,3.68,,medical
19305,6.28,,medical
19306,7.18,,medical
19307,7.27,,medical
19316,7.63,,medical
19318,10.00,,medical
19324,3.49,,medical
19325,5.84,,medical
19328,3.77,,medical
19330,3.00,,medical
19340,3.54,,medical
19342,6.90,,medical
19350,6.90,,medical
19355,0.89,,medical
19357,10.00,,medical
19361,16.00,,medical
19364,10.37,,medical
