Code,Relative_value,pc/tc split,schedule
74250,2.93,40/60,medical
74251,3.39,40/60,medical
74260,3.42,40/60,medical
74261,13.40,21/79,medical
74262,15.19,18/82,medical
74263,16.08,16/84,medical
74270,4.13,40/60,medical
74280,5.41,40/60,medical
74283,6.22,40/60,medical
74290,2.12,40/60,medical
74300,2.55,35/65,medical
74301,1.45,35/65,medical
74328,7.06,35/65,medical
74329,7.04,35/65,medical
74330,7.47,35/65,medical
74340,3.83,35/65,medical
74355,5.58,35/65,medical
74360,7.37,35/65,medical
74363,5.30,35/65,medical
74400,3.83,40/60,medical
74410,4.08,40/60,medical
74415,4.59,40/60,medical
74420,2.55,40/60,medical
74425,2.93,35/65,medical
74430,2.40,35/65,medical
74440,2.68,35/65,medical
74445,3.54,35/65,medical
74450,3.19,35/65,medical
74455,3.49,35/65,medical
74470,3.32,35/65,medical
74485,6.20,35/65,medical
74710,2.45,40/60,medical
74712,20.59,31/69,medical
74713,9.95,39/61,medical
74740,3.06,35/65,medical
74742,3.44,35/65,medical
74775,3.95,40/60,medical
75557,19.77,23/77,medical
75559,26.88,20/80,medical
75561,24.51,19/81,medical
75563,30.83,18/82,medical
75565,3.16,14/86,medical
75571,4.47,23/77,medical
75572,5.36,62/38,medical
75573,7.15,66/34,medical
75574,22.34,20/80,medical
75600,16.54,10/90,medical
75605,19.22,15/85,medical
75625,19.37,15/85,medical
75630,20.45,15/85,medical
75635,42.99,25/75,medical
75705,18.62,20/80,medical
75710,16.79,15/85,medical
75716,20.76,15/85,medical
75726,20.58,15/85,medical
75731,11.42,15/85,medical
75733,15.63,15/85,medical
75736,19.51,15/85,medical
75741,19.17,15/85,medical
75743,20.16,15/85,medical
75746,16.52,15/85,medical
75756,18.75,15/85,medical
75774,4.05,10/90,medical
75801,10.07,20/80,medical
75803,12.14,20/80,medical
75805,13.08,20/80,medical
75807,14.03,20/80,medical
75809,4.34,35/65,medical
75810,19.44,15/85,medical
75820,4.59,35/65,medical
75822,6.91,35/65,medical
75825,19.44,15/85,medical
75827,19.44,15/85,medical
75831,18.95,15/85,medical
75833,22.64,15/85,medical
75840,12.16,15/85,medical
75842,19.97,15/85,medical
75860,17.77,15/85,medical
75870,15.91,15/85,medical
75872,20.32,15/85,medical
75880,5.84,15/85,medical
75885,23.59,15/85,medical
75887,11.60,15/85,medical
75889,20.88,15/85,medical
75891,20.22,15/85,medical
75893,8.34,10/90,medical
75894,48.93,10/90,medical
75898,12.65,75/25,medical
75901,51.51,10/90,medical
75902,51.51,10/90,medical
75956,22.19,10/90,medical
75957,19.00,10/90,medical
75958,12.67,10/90,medical
75959,11.09,10/90,medical
75970,19.58,10/90,medical
75984,4.39,35/65,medical
75989,7.91,20/80,medical
76000,2.81,35/65,medical
76001,6.59,35/65,medical
76010,1.45,35/65,medical
76080,2.35,35/65,medical
76098,1.15,40/60,medical
76100,3.32,40/60,medical
76101,4.08,40/60,medical
76102,5.36,40/60,medical
76120,2.81,40/60,medical
76125,2.30,40/60,medical
76140,BR,,medical
76376,4.40,15/85,medical
76377,5.65,44/56,medical
76380,6.61,26/74,medical
76390,15.42,14/86,medical
76496,BR,,medical
76497,BR,,medical
76498,BR,,medical
76499,BR,,medical
76506,4.44,45/55,medical
76510,6.63,50/50,medical
76511,4.85,45/55,medical
76512,5.36,45/55,medical
76513,5.10,40/60,medical
76514,0.87,45/55,medical
76516,5.10,45/55,medical
76519,5.10,45/55,medical
76529,4.59,45/55,medical
76536,4.05,45/55,medical
76604,5.10,45/55,medical
76641,4.51,34/66,medical
76642,3.70,39/61,medical
76700,5.10,45/55,medical
76705,3.83,45/55,medical
76706,3.97,29/71,medical
76770,4.87,45/55,medical
76775,3.14,45/55,medical
76776,4.90,30/70,medical
76800,5.56,45/55,medical
76801,4.51,45/55,medical
76802,2.26,45/55,medical
76805,4.51,45/55,medical
76810,6.58,45/55,medical
76811,5.42,45/55,medical
76812,3.32,45/55,medical
76813,2.70,45/55,medical
76814,4.21,57/43,medical
76815,2.81,45/55,medical
76816,2.91,45/55,medical
76817,4.51,45/55,medical
76818,4.74,45/55,medical
76819,4.72,45/55,medical
76820,3.49,30/70,medical
76821,3.88,35/65,medical
76825,5.99,45/55,medical
76826,3.60,45/55,medical
76827,3.83,45/55,medical
76828,2.30,45/55,medical
76830,5.10,45/55,medical
76831,5.89,45/55,medical
76856,4.46,45/55,medical
76857,4.08,45/55,medical
76870,3.83,45/55,medical
76872,5.46,45/55,medical
76873,4.59,45/55,medical
76881,4.46,25/75,medical
76882,1.28,69/31,medical
76885,4.59,45/55,medical
76886,4.02,45/55,medical
76930,3.83,45/55,medical
76932,4.41,45/55,medical
76936,13.54,20/80,medical
76937,1.51,20/80,medical
76940,4.49,20/80,medical
76941,3.70,45/55,medical
76942,4.97,45/55,medical
76945,3.70,45/55,medical
76946,4.13,45/55,medical
76948,4.72,45/55,medical
76965,4.59,45/55,medical
76970,2.99,45/55,medical
76975,6.68,45/55,medical
76977,2.09,31/69,medical
76998,2.79,,medical
76999,BR,,medical
77001,3.11,22/78,medical
77002,2.81,34/66,medical
77003,2.73,38/62,medical
77011,11.61,16/84,medical
77012,11.61,15/85,medical
77013,20.55,36/64,medical
77014,5.36,27/73,medical
77021,20.15,16/84,medical
77022,27.41,31/69,medical
77053,4.26,15/85,medical
77054,4.85,14/86,medical
77058,24.51,11/89,medical
77059,32.42,8/92,medical
77061,BR,,medical
77062,BR,,medical
77063,2.30,54/46,medical
77065,5.65,30/70,medical
77066,7.14,30/70,medical
77067,5.75,28/72,medical
77071,1.28,,medical
77072,1.66,32/68,medical
77073,2.30,31/69,medical
77074,2.52,37/63,medical
77075,4.08,33/67,medical
77076,2.55,55/45,medical
77077,2.37,27/73,medical
77078,5.36,10/90,medical
77080,6.48,11/89,medical
77081,2.04,28/72,medical
77084,2.68,40/60,medical
77085,2.37,27/73,medical
77086,1.76,23/77,medical
77261,6.68,,medical
77262,8.75,,medical
77263,11.93,,medical
77280,11.35,30/70,medical
77285,16.65,30/70,medical
77290,21.32,30/70,medical
77293,19.87,22/78,medical
77295,26.83,30/70,medical
77299,BR,,medical
77300,4.56,50/50,medical
77301,8.21,55/45,medical
77306,6.36,48/52,medical
77307,7.14,55/45,medical
77316,5.10,45/55,medical
77317,7.65,45/55,medical
77318,10.84,50/50,medical
77321,8.52,35/65,medical
77331,3.03,80/20,medical
77332,4.08,50/50,medical
77333,5.00,50/50,medical
77334,9.64,45/55,medical
