code,relative value,pc/tc split,schedule
92355.0,30.65,,medical
92358.0,7.18,,medical
92370.0,12.68,,medical
92371.0,20.97,,medical
92499.0,BR,,medical
92502.0,29.09,,medical
92504.0,4.31,,medical
92507.0,7.78,,medical
92508.0,5.92,,medical
92511.0,16.91,,medical
92512.0,12.18,,medical
92516.0,13.36,,medical
92520.0,26.21,,medical
92521.0,22.10,,medical
92522.0,17.79,,medical
92523.0,38.31,,medical
92524.0,17.03,,medical
92526.0,12.60,,medical
92531.0,3.89,,medical
92532.0,4.57,,medical
92533.0,7.27,,medical
92534.0,3.21,,medical
92537.0,7.87,78/22,medical
92538.0,4.04,76/24,medical
92540.0,12.68,83/17,medical
92541.0,9.64,80/20,medical
92542.0,8.62,80/20,medical
92544.0,5.24,80/20,medical
92545.0,5.24,80/20,medical
92546.0,8.29,80/20,medical
92547.0,5.07,80/20,medical
92548.0,16.91,24/76,medical
92550.0,3.72,,medical
92551.0,2.20,,medical
92552.0,3.21,,medical
92553.0,4.90,,medical
92555.0,2.54,,medical
92556.0,4.23,,medical
92557.0,8.62,,medical
92558.0,1.99,0/100,medical
92559.0,7.10,,medical
92560.0,4.23,,medical
92561.0,8.46,,medical
92562.0,2.11,,medical
92563.0,3.72,,medical
92564.0,3.72,,medical
92565.0,3.04,,medical
92567.0,3.38,,medical
92568.0,2.87,,medical
92570.0,5.58,,medical
92571.0,4.57,,medical
92572.0,3.72,,medical
92575.0,3.72,,medical
92576.0,3.38,,medical
92577.0,3.04,,medical
92579.0,5.92,,medical
92582.0,6.43,,medical
92583.0,4.23,,medical
92584.0,24.86,,medical
92585.0,29.09,50/50,medical
92586.0,18.60,,medical
92587.0,6.09,,medical
92588.0,8.62,,medical
92590.0,NC,,medical
92591.0,NC,,medical
92592.0,NC,,medical
92593.0,NC,,medical
92594.0,NC,,medical
92595.0,NC,,medical
92596.0,NC,,medical
92597.0,NC,,medical
92601.0,27.06,,medical
92602.0,19.78,,medical
92603.0,16.91,,medical
92604.0,11.50,,medical
92605.0,18.98,,medical
92606.0,16.92,,medical
92607.0,23.84,,medical
92608.0,4.90,,medical
92609.0,12.34,,medical
92610.0,25.03,,medical
92611.0,26.21,,medical
92612.0,32.64,,medical
92613.0,8.54,,medical
92614.0,28.75,,medical
92615.0,7.78,,medical
92616.0,42.95,,medical
92617.0,10.32,,medical
92618.0,6.82,,medical
92620.0,8.79,,medical
92621.0,2.37,,medical
92625.0,13.70,,medical
92626.0,4.23,,medical
92627.0,4.23,,medical
92630.0,BR,,medical
92633.0,BR,,medical
92640.0,10.82,,medical
92700.0,BR,,medical
92920.0,110.72,,medical
92921.0,BR,,medical
92924.0,131.98,,medical
92925.0,BR,,medical
92928.0,123.17,,medical
92929.0,BR,,medical
92933.0,138.06,,medical
92934.0,BR,,medical
92937.0,123.03,,medical
92938.0,BR,,medical
92941.0,138.34,,medical
92943.0,138.34,,medical
92944.0,BR,,medical
92950.0,45.66,,medical
95148.0,6.43,,medical
95149.0,7.61,,medical
95165.0,2.70,,medical
95170.0,1.99,,medical
95180.0,18.26,,medical
95199.0,BR,,medical
95249.0,10.67,,medical
95250.0,23.67,0/100,medical
95251.0,4.23,,medical
95782.0,177.79,14/86,medical
95783.0,189.62,14/86,medical
95800.0,175.02,31/69,medical
95801.0,296.09,56/44,medical
95803.0,34.16,27/73,medical
95805.0,60.03,40/60,medical
95806.0,67.64,50/50,medical
95807.0,84.89,40/60,medical
95808.0,53.44,40/60,medical
95810.0,57.32,40/60,medical
95811.0,105.01,40/60,medical
95812.0,32.97,40/60,medical
95813.0,45.41,40/60,medical
95816.0,26.38,40/60,medical
95819.0,26.38,40/60,medical
95822.0,26.38,40/60,medical
95824.0,37.50,40/60,medical
95827.0,33.82,40/60,medical
95829.0,54.96,95/05,medical
95830.0,19.62,,medical
95857.0,10.99,,medical
95860.0,21.98,80/20,medical
95861.0,28.58,80/20,medical
95863.0,37.20,80/20,medical
95864.0,48.36,80/20,medical
95865.0,32.97,75/25,medical
95866.0,22.83,90/10,medical
95867.0,22.83,80/20,medical
95868.0,39.91,80/20,medical
95869.0,16.91,80/20,medical
95870.0,16.91,80/20,medical
95872.0,39.06,80/20,medical
95873.0,9.13,71/29,medical
95874.0,9.30,72/28,medical
95875.0,7.78,70/30,medical
95885.0,11.66,32/68,medical
95886.0,18.27,54/46,medical
95887.0,16.28,48/52,medical
95905.0,24.52,4/96,medical
95907.0,19.02,55/45,medical
95908.0,24.63,54/46,medical
95909.0,29.35,54/46,medical
95910.0,38.65,54/46,medical
95911.0,46.11,57/43,medical
95912.0,51.17,61/39,medical
95913.0,59.03,62/38,medical
95921.0,NC,53/47,medical
95922.0,NC,45/55,medical
95923.0,20.29,29/71,medical
95924.0,29.35,59/41,medical
95925.0,35.76,80/20,medical
95926.0,35.76,80/20,medical
95927.0,35.76,80/20,medical
95928.0,92.67,50/50,medical
95929.0,96.56,45/55,medical
95930.0,16.91,50/50,medical
95933.0,14.37,80/20,medical
95937.0,13.36,80/20,medical
95938.0,61.77,15/85,medical
95939.0,96.66,25/75,medical
95940.0,6.66,,medical
95941.0,BR,,medical
95943.0,24.56,57/43,medical
95950.0,67.64,40/60,medical
95951.0,86.92,40/60,medical
95953.0,78.12,40/60,medical
95954.0,16.91,90/10,medical
95955.0,30.44,95/05,medical
95956.0,78.12,40/60,medical
95957.0,32.65,0/100,medical
95958.0,48.19,80/20,medical
95961.0,50.73,80/20,medical
95962.0,33.82,80/20,medical
95965.0,432.85,20/80,medical
95966.0,216.07,20/80,medical
95967.0,188.35,20/80,medical
95970.0,10.91,,medical
95971.0,16.40,,medical
95972.0,32.72,,medical
95974.0,65.44,,medical
95975.0,32.72,,medical
95978.0,71.87,,medical
95979.0,35.51,,medical
95980.0,14.37,,medical
95981.0,10.15,,medical
95982.0,14.88,,medical
95990.0,7.61,,medical
95991.0,7.61,,medical
95992.0,14.37,,medical
95999.0,BR,,medical
