Code,Relative Value,PC/TC Split,schedule
73600,1.38,40/60,podiatry
73610,1.48,40/60,podiatry
73615,4.69,35/65,podiatry
73620,1.43,40/60,podiatry
73630,1.48,40/60,podiatry
73650,1.28,40/60,podiatry
73660,1.12,40/60,podiatry
76080,2.35,35/65,podiatry
76499,BR,,podiatry
76881,4.46,25/75,podiatry
76882,1.28,69/31,podiatry
77002,2.81,34/66,podiatry
