code,description,rvu,fud,pctc_split,is_addon,is_mod51_exempt,is_state_specific,is_altered_cpt,is_br
12056,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm",3.10,010,,False,False,False,False,False
12057,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30.0 cm",2.60,010,,False,False,False,False,False
13100,"Repair, complex, trunk; 1.1 cm to 2.5 cm",0.85,010,,False,False,False,False,False
13101,"Repair, complex, trunk; 2.6 cm to 7.5 cm",1.53,010,,False,False,False,False,False
13102,"Repair, complex, trunk; each additional 5 cm or less (List separately in addition to code for primary procedure)",0.61,ZZZ,,False,False,False,False,False
13120,"Repair, complex, scalp, arms, and/or legs; 1.1 cm to 2.5 cm",1.35,010,,False,False,False,False,False
13121,"Repair, complex, scalp, arms, and/or legs; 2.6 cm to 7.5 cm",2.60,010,,False,False,False,False,False
13122,"Repair, complex, scalp, arms, and/or legs; each additional 5 cm or less (List sepa- rately in addition to code for primary procedure)",0.83,ZZZ,,False,False,False,False,False
13131,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 1.1 cm to 2.5 cm",1.35,010,,False,False,False,False,False
13132,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 2.6 cm to 7.5 cm",3.50,010,,False,False,False,False,False
13133,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; each additional 5 cm or less (List separately in addition to code for pri- mary procedure)",1.21,ZZZ,,False,False,False,False,False
13151,"Repair, complex, eyelids, nose, ears and/or lips; 1.1 cm to 2.5 cm",2.00,010,,False,False,False,False,False
13152,"Repair, complex, eyelids, nose, ears and/or lips; 2.6 cm to 7.5 cm",4.00,010,,False,False,False,False,False
13153,"Repair, complex, eyelids, nose, ears and/or lips; each additional 5 cm or less (List separately in addition to code for primary procedure)",1.55,ZZZ,,False,False,False,False,False
13160,"Secondary closure of surgical wound or dehiscence, extensive or complicated",2.60,090,,False,False,False,False,False
14000,"Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less",2.74,090,,False,False,False,False,False
14001 14020,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less",3.90,090,,False,False,False,False,False
14021,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq",,,,False,False,False,False,False
,cm to 30.0 sq cm,5.20,090,,False,False,False,False,False
14040,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less",5.20,090,,False,False,False,False,False
14041,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm",6.70,090,,False,False,False,False,False
15131,"Dermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",0.67,ZZZ,,False,False,False,False,False
15135,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cmor less, or 1%of body area of infants and children",5.07,090,,False,False,False,False,False
15136,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",0.63,ZZZ,,False,False,False,False,False
15150,"Tissue cultured skin autograft, trunk, arms, legs; first 25 sq cm or less",4,090,,False,False,False,False,False
15151,"Tissue cultured skin autograft, trunk, arms, legs; additional 1 sq cm to 75 sq cm (List separately in addition to code for primary procedure)",0.88,ZZZ,,False,False,False,False,False
15152,"Tissue cultured skin autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List sepa- rately in addition to code for primary procedure)",1.08,ZZZ,,False,False,False,False,False
15155,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, geni- talia, hands, feet, and/or multiple digits; first 25 sq cm or less",4.02,090,,False,False,False,False,False
15156,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, geni- talia, hands, feet, and/or multiple digits; additional 1 sq cm to 75 sq cm (List sepa- rately in addition to code for primary procedure)",1.17,ZZZ,,False,False,False,False,False
15157,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, geni- talia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each addi- tional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",1.35,ZZZ,,False,False,False,False,False
15200,"Full thickness graft, free, including direct closure of donor site, trunk; 20 sq cm or less",2.78,090,,False,False,False,False,False
15201,"Full thickness graft, free, including direct closure of donor site, trunk; each addi- tional 20 sq cm, or part thereof (List separately in addition to code for primary pro- cedure)",1.39,ZZZ,,False,False,False,False,False
15220,"Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; 20 sq cm or less",3.9,090,,False,False,False,False,False
15221,"Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)",1.9,ZZZ,,False,False,False,False,False
15240,"Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; 20 sq cm or less",5.3,090,,False,False,False,False,False
