code,description,rvu,fud,pctc_split,is_addon,is_mod51_exempt,is_state_specific,is_altered_cpt,is_br
15274,"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cmwoundsurface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",0.33,ZZZ,,False,False,False,False,False
15275,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area",0.77,000,,False,False,False,False,False
15276,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (List sep- arately in addition to code for primary procedure)",0.19,ZZZ,,False,False,False,False,False
15277,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children",1.64,000,,False,False,False,False,False
15278,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cmwoundsurface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",0.41,ZZZ,,False,False,False,False,False
15574,"Formation of direct or tubed pedicle, with or without transfer; forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands or feet",5.75,090,,False,False,False,False,False
15620,"Delay of flap or sectioning of flap (division and inset); at forehead, cheeks, chin, neck, axillae, genitalia, hands, or feet",5.4,090,,False,False,False,False,False
15756,Free muscle or myocutaneous flap with microvascular anastomosis,18.09,090,,False,False,False,False,False
15757,Free skin flap with microvascular anastomosis,21.28,090,,False,False,False,False,False
,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",0.28,000,,False,False,False,False,False
,"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, tem- poromandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); with- out ultrasound guidance",0.31,000,,False,False,False,False,False
,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",0.25,000,,False,False,False,False,False
,Aspiration and/or injection of ganglion cyst(s) any location,0.31,000,,False,False,False,False,False
,Aspiration and injection for treatment of bone cyst,0.80,010,,False,False,False,False,False
,"Insertion of wire or pin with application of skeletal traction, including removal (separate procedure)",0.70,010,,False,False,False,False,False
,"Application of cranial tongs, caliper, or stereotactic frame, including removal (sep- arate procedure)",2.00,000,,False,False,False,False,False
,Removal of tongs or halo applied by another individual,0.20,010,,False,False,False,False,False
,"Removal of implant; superficial (eg, buried wire, pin or rod) (separate procedure)",0.35,010,,False,False,False,False,False
,"Removal of implant; deep (eg, buried wire, pin, screw, metal band, nail, rod or plate)",2.40,090,,False,False,False,False,False
,"Application of multiplane (pins or wires in more than 1 plane), unilateral, external fixation with stereotactic computer-assisted adjustment (eg, spatial frame), including imaging; initial and subsequent alignment(s), assessment(s), and com- putation(s) of adjustment schedule(s)",7.25,090,,False,False,False,False,False
,"Application of multiplane (pins or wires in more than 1 plane), unilateral, external fixation with stereotactic computer-assisted adjustment (eg, spatial frame), including imaging; exchange (ie, removal and replacement) of strut, each",8.59,000,,False,False,False,False,False
,"Bone graft, any donor area; minor or small (eg, dowel or button)",1.60,000,,False,False,False,False,False
,"Tendon graft, from a distance (eg, palmaris, toe extensor, plantaris)",2.17,090,,False,False,False,False,False
,"Tissue grafts, other (eg, paratenon, fat, dermis)",2.07,090,,False,False,False,False,False
,Electrical stimulation to aid bone healing; invasive (operative),4.14,000,,False,False,False,False,False
,"Low intensity ultrasound stimulation to aid bone healing, noninvasive (nonopera- tive)",2.59,000,,False,False,False,False,False
,"Computer-assisted surgical navigational procedure for musculoskeletal proce- dures, image-less (List separately in addition to code for primary procedure)",0.83,ZZZ,,False,False,False,False,False
,"Unlisted procedure, musculoskeletal system, general",,YYY,,False,False,False,False,True
,"Decompression fasciotomy, leg; anterior and/or lateral compartments only",6.47,090,,False,False,False,False,False
,"Decompression fasciotomy, leg; posterior compartment(s) only",6.04,090,,False,False,False,False,False
,"Decompression fasciotomy, leg; anterior and/or lateral, and posterior compart- ment(s)",7.77,090,,False,False,False,False,False
,"Incision and drainage, leg or ankle; deep abscess or hematoma",3.67,090,,False,False,False,False,False
,"Incision and drainage, leg or ankle; infected bursa",3.67,090,,False,False,False,False,False
,"Tenotomy, percutaneous, Achilles tendon (separate procedure); local anesthesia",3.45,010,,False,False,False,False,False
,"Tenotomy, percutaneous, Achilles tendon (separate procedure); general anesthe- sia",3.45,010,,False,False,False,False,False
,"Incision (eg, osteomyelitis or bone abscess), leg or ankle",5.18,090,,False,False,False,False,False
,"Arthrotomy, ankle, including exploration, drainage, or removal of foreign body",6.47,090,,False,False,False,False,False
,"Arthrotomy, posterior capsular release, ankle, with or without Achilles tendon lengthening",7.33,090,,False,False,False,False,False
,"Biopsy, soft tissue of leg or ankle area; superficial",3.23,010,,False,False,False,False,False
