code,description,rvu,fud,pctc_split,is_addon,is_mod51_exempt,is_state_specific,is_altered_cpt,is_br
 0275T,"Percutaneous laminotomy/laminectomy (interlaminar approach) for decompres- sion of neural elements, (with or without ligamentous resection, discectomy, face- tectomy and/or foraminotomy), any method, under indirect image guidance (eg, fluoroscopic, CT), single or multiple levels, unilateral or bilateral; lumbar",,XXX,,False,False,False,False,True
0278T,"Transcutaneous electrical modulation pain reprocessing (eg, scrambler therapy), each treatment session (includes placement of electrodes)",,XXX,,False,False,False,False,True
+ 0290T,"Corneal incisions in the recipient cornea created using a laser, in preparation for penetrating or lamellar keratoplasty (List separately in addition to code for primary",,ZZZ,,False,False,False,False,True
0349T,"Radiologic examination, radiostereometric analysis (RSA); upper extremity(ies), (includes shoulder, elbow, and wrist, when performed)",,YYY,,False,False,False,False,True
0350T,"Radiologic examination, radiostereometric analysis (RSA); lower extremity(ies), (includes hip, proximal femur, knee, and ankle, when performed)",,YYY,,False,False,False,False,True
0351T,"Optical coherence tomography of breast or axillary lymph node, excised tissue, each specimen; real-time intraoperative",,YYY,,False,False,False,False,True
0352T,"Optical coherence tomography of breast or axillary lymph node, excised tissue, each specimen; interpretation and report, real-time or referred",,YYY,,False,False,False,False,True
,"Optical coherence tomography of breast, surgical cavity; real-time intraoperative",,YYY,,False,False,False,False,True
0354T,"Optical coherence tomography of breast, surgical cavity; interpretation and report, real-time or referred",,YYY,,False,False,False,False,True
0355T,"Gastrointestinal tract imaging, intraluminal (eg, capsule endoscopy), colon, with interpretation and report",36.27,YYY,,False,False,False,False,False
0356T,"Insertion of drug-eluting implant (including punctal dilation and implant removal when performed) into lacrimal canaliculus, each",,YYY,,False,False,False,False,True
0357T,Cryopreservation; immature oocyte(s),,XXX,,False,False,False,False,True
0358T,"Bioelectrical impedance analysis whole body composition assessment, with inter- pretation and report",,YYY,,False,False,False,False,True
0359T,"Behavior identification assessment, by the physician or other qualified health care professional, face-to-face with patient and caregiver(s), includes administration of standardized and non-standardized tests, detailed behavioral history, patient observation and caregiver interview, interpretation of test results, discussion of findings and recommendations with the primary guardian(s)/caregiver(s), and preparation of report",,YYY,,False,False,False,False,True
0360T,"Observational behavioral follow-up assessment, includes physician or other quali- fied health care professional direction with interpretation and report, administered by one technician; first 30 minutes of technician time, face-to-face with the patient",,YYY,,False,False,False,False,True
0361T,"Observational behavioral follow-up assessment, includes physician or other quali- fied health care professional direction with interpretation and report, administered by one technician; each additional 30 minutes of technician time, face-to-face with the patient (List separately in addition to code for primary service)",,ZZZ,,False,False,False,False,True
0362T,"Exposure behavioral follow-up assessment, includes physician or other qualified health care professional direction with interpretation and report, administered by physician or other qualified health care professional with the assistance of one or more technicians; first 30 minutes of technician(s) time, face-to-face with the patient",,YYY,,False,False,False,False,True
0363T,"Exposure behavioral follow-up assessment, includes physician or other qualified health care professional direction with interpretation and report, administered by physician or other qualified health care professional with the assistance of one or more technicians; each additional 30 minutes of technician(s) time, face-to-face with the patient (List separately in addition to code for primary procedure)",,ZZZ,,False,False,False,False,True
0364T,"Adaptive behavior treatment by protocol, administered by technician, face-to-face with one patient; first 30 minutes of technician time",,YYY,,False,False,False,False,True
0365T,"Adaptive behavior treatment by protocol, administered by technician, face-to-face with one patient; each additional 30 minutes of technician time (List separately in addition to code for primary procedure)",,ZZZ,,False,False,False,False,True
0366T,"Group adaptive behavior treatment by protocol, administered by technician, face-to-face with two or more patients; first 30 minutes of technician time",,YYY,,False,False,False,False,True
0367T,"Group adaptive behavior treatment by protocol, administered by technician, face-to-face with two or more patients; each additional 30 minutes of technician time (List separately in addition to code for primary procedure)",,ZZZ,,False,False,False,False,True
0368T,Adaptive behavior treatment with protocol modification administered by physician or other qualified health care professional with one patient; first 30 minutes of patient face-to-face time,,YYY,,False,False,False,False,True
0369T,Adaptive behavior treatment with protocol modification administered by physician or other qualified health care professional with one patient; each additional 30 minutes of patient face-to-face time (List separately in addition to code for primary procedure),,ZZZ,,False,False,False,False,True
0389T,"Programming device evaluation (in person) with iterative adjustment of the implantable device to test the function of the device and select optimal permanent programmed values with analysis, review and report, leadless pacemaker system",10.19,XXX,,False,False,False,False,False
0390T,"Peri-procedural device evaluation (in person) and programming of device system parameters before or after a surgery, procedure or test with analysis, review and report, leadless pacemaker system",5.54,XXX,,False,False,False,False,False
0391T,"Interrogation device evaluation (in person) with analysis, review and report, includes connection, recording and disconnection per patient encounter, leadless pacemaker system",6.84,XXX,,False,False,False,False,False
0394T,"High dose rate electronic brachytherapy, skin surface application, per fraction, includes basic dosimetry, when performed",9.14,XXX,,False,False,False,False,False
0395T,"High dose rate electronic brachytherapy, interstitial or intracavitary treatment, per fraction, includes basic dosimetry, when performed",33.94,XXX,,False,False,False,False,False
0396T,Intra-operative use of kinetic balance sensor for implant stability during knee replacement arthroplasty (List separately in addition to code for primary proce- dure),,XXX,,False,False,False,False,True
0397T,"Endoscopic retrograde cholangiopancreatography (ERCP), with optical endomi- croscopy (List separately in addition to code for primary procedure)",,XXX,,False,False,False,False,True
0398T,"Magnetic resonance image guided high intensity focused ultrasound (MRgFUS), stereotactic ablation lesion, intracranial for movement disorder including stereo- tactic navigation and frame placement when performed",,XXX,,False,False,False,False,True
0399T,Myocardial strain imaging (quantitative assessment of myocardial mechanics using image-based analysis of local myocardial dynamics) (List separately in addi- tion to code for primary procedure),,XXX,,False,False,False,False,True
0400T,Multi-spectral digital skin lesion analysis of clinically atypical cutaneous pig- mented lesions for detection of melanomas and high risk melanocytic atypia; one to five lesions,,XXX,,False,False,False,False,True
0401T,Multi-spectral digital skin lesion analysis of clinically atypical cutaneous pig- mented lesions for detection of melanomas and high risk melanocytic atypia; six or more lesions,,XXX,,False,False,False,False,True
0402T,Collagen cross-linking of cornea (including removal of the corneal epithelium and intraoperative pachymetry when performed),,XXX,,False,False,False,False,True
0403T,"Preventive behavior change, intensive program of prevention of diabetes using a standardized diabetes prevention program curriculum, provided to individuals in a group setting, minimum 60 minutes, per day",,XXX,,False,False,False,False,True
0404T,"Transcervical uterine fibroid(s) ablation with ultrasound guidance, radiofrequency",,XXX,,False,False,False,False,True
0405T,"Oversight of the care of an extracorporeal liver assist system patient requiring review of status, review of laboratories and other studies, and revision of orders and liver assist care plan (as appropriate), within a calendar month, 30 minutes or more of non-face-to-face time",,XXX,,False,False,False,False,True
0406T,"Nasal endoscopy, surgical, ethmoid sinus, placement of drug eluting implant;",0.01,XXX,,False,False,False,False,False
0407T,"Nasal endoscopy, surgical, ethmoid sinus, placement of drug eluting implant; with biopsy, polypectomy or debridement",0.01,XXX,,False,False,False,False,False
0408T,"Insertion or replacement of permanent cardiac contractility modulation system, including contractility evaluation when performed, and programming of sensing and therapeutic parameters; pulse generator with transvenous electrodes",,XXX,,False,False,False,False,True
0409T including,"Insertion or replacement of permanent cardiac contractility modulation system, contractility evaluation when performed, and programming of sensing and therapeutic parameters; pulse generator only",,XXX,,False,False,False,False,True
0410T,"Insertion or replacement of permanent cardiac contractility modulation system, including contractility evaluation when performed, and programming of sensing and therapeutic parameters; atrial electrode only",,XXX,,False,False,False,False,True
0411T,"Insertion or replacement of permanent cardiac contractility modulation system, including contractility evaluation when performed, and programming of sensing and therapeutic parameters; ventricular electrode only",,XXX,,False,False,False,False,True
0412T,Removal of permanent cardiac contractility modulation system; pulse generator only,,XXX,,False,False,False,False,True
 + 0439T,"Myocardial contrast perfusion echocardiography, at rest or with stress, for assessment of myocardial ischemia or viability (List separately in addition to code for primary procedure)",,ZZZ,,False,False,False,False,True
 0440T,"Ablation, percutaneous, cryoablation, includes imaging guidance; upper extremity distal/peripheral nerve",,YYY,,False,False,False,False,True
 0441T,"Ablation, percutaneous, cryoablation, includes imaging guidance; lower extremity distal/peripheral nerve",,YYY,,False,False,False,False,True
 0442T,"Ablation, percutaneous, cryoablation, includes imaging guidance; nerve plexus or other truncal nerve (eg, brachial plexus, pudendal nerve)",,YYY,,False,False,False,False,True
 + 0443T,"Real-time spectral analysis of prostate tissue by fluorescence spectroscopy, including imaging guidance (List separately in addition to code for primary proce- dure)",,ZZZ,,False,False,False,False,True
 0444T,"Initial placement of a drug-eluting ocular insert under one or more eyelids, includ- ing fitting, training, and insertion, unilateral or bilateral",,YYY,,False,False,False,False,True
 0445T,"Subsequent placement of a drug-eluting ocular insert under one or more eyelids, including re-training, and removal of existing insert, unilateral or bilateral",,YYY,,False,False,False,False,True
 0446T,"Creation of subcutaneous pocket with insertion of implantable interstitial glucose sensor, including system activation and patient training",,YYY,,False,False,False,False,True
 0447T,Removal of implantable interstitial glucose sensor from subcutaneous pocket via incision,,YYY,,False,False,False,False,True
 0448T,"Removal of implantable interstitial glucose sensor with creation of subcutaneous pocket at different anatomic site and insertion of new implantable sensor, includ- ing system activation",,YYY,,False,False,False,False,True
 0449T,"Insertion of aqueous drainage device, without extraocular reservoir, internal approach, into the subconjunctival space; initial device",,YYY,,False,False,False,False,True
 + 0450T,"Insertion of aqueous drainage device, without extraocular reservoir, internal approach, into the subconjunctival space; each additional device (List separately in addition to code for primary procedure)",,YYY,,False,False,False,False,True
 0451T,"Insertion or replacement of a permanently implantable aortic counterpulsation ventricular assist system, endovascular approach, and programming of sensing and therapeutic parameters; complete system (counterpulsation device, vascular graft, implantable vascular hemostatic seal, mechano-electrical skin interface and subcutaneous electrodes)",,YYY,,False,False,False,False,True
 0452T,"Insertion or replacement of a permanently implantable aortic counterpulsation ventricular assist system, endovascular approach, and programming of sensing and therapeutic parameters; aortic counterpulsation device and vascular hemo- static seal",,YYY,,False,False,False,False,True
 0453T,"Insertion or replacement of a permanently implantable aortic counterpulsation ventricular assist system, endovascular approach, and programming of sensing and therapeutic parameters; mechano-electrical skin interface",,YYY,,False,False,False,False,True
 0454T,"Insertion or replacement of a permanently implantable aortic counterpulsation ventricular assist system, endovascular approach, and programming of sensing and therapeutic parameters; subcutaneous electrode",,YYY,,False,False,False,False,True
 0455T,"Removal of permanently implantable aortic counterpulsation ventricular assist system; complete system (aortic counterpulsation device, vascular hemostatic seal, mechano-electrical skin interface and electrodes)",,YYY,,False,False,False,False,True
 0456T,Removal of permanently implantable aortic counterpulsation ventricular assist system; aortic counterpulsation device and vascular hemostatic seal,,YYY,,False,False,False,False,True
 0457T,Removal of permanently implantable aortic counterpulsation ventricular assist system; mechano-electrical skin interface,,YYY,,False,False,False,False,True
 0458T,Removal of permanently implantable aortic counterpulsation ventricular assist system; subcutaneous electrode,,YYY,,False,False,False,False,True
 0459T,"Relocation of skin pocket with replacement of implanted aortic counterpulsation ventricular assist device, mechano-electrical skin interface and electrodes",,YYY,,False,False,False,False,True
 0460T,Repositioning of previously implanted aortic counterpulsation ventricular assist device; subcutaneous electrode,,YYY,,False,False,False,False,True
 0461T,Repositioning of previously implanted aortic counterpulsation ventricular assist device; aortic counterpulsation device,,YYY,,False,False,False,False,True
0484T,"Transcatheter mitral valve implantation/replacement (TMVI) with prosthetic valve; transthoracic exposure (eg, thoracotomy, transapical)",16.69,000,,False,False,False,False,False
0485T,"Optical coherence tomography (OCT) of middle ear, with interpretation and report; unilateral",,XXX,,False,False,False,False,True
0486T,"Optical coherence tomography (OCT) of middle ear, with interpretation and report; bilateral",,XXX,,False,False,False,False,True
0487T,"Biomechanical mapping, transvaginal, with report",0.76,XXX,,False,False,False,False,False
0488T,"Preventive behavior change, online/electronic structured intensive program for prevention of diabetes using a standardized diabetes prevention program curricu- lum, provided to an individual, per 30 days",,XXX,,False,False,False,False,True
0489T,"Autologous adipose-derived regenerative cell therapy for scleroderma in the hands; adipose tissue harvesting, isolation and preparation of harvested cells including incubation with cell dissociation enzymes, removal of non-viable cells and debris, determination of concentration and dilution of regenerative cells",,000,,False,False,False,False,True
0490T,Autologous adipose-derived regenerative cell therapy for scleroderma in the hands; multiple injections in one or both hands,,000,,False,False,False,False,True
0491T,"Ablative laser treatment, non-contact, full field and fractional ablation, open wound, per day, total treatment surface area; first 20 sq cm or less",0.05,000,,False,False,False,False,False
0492T,"Ablative laser treatment, non-contact, full field and fractional ablation, open wound, per day, total treatment surface area; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)",0.05,ZZZ,,False,False,False,False,False
0493T,"Near-infrared spectroscopy studies of lower extremity wounds (eg, for oxyhemo- globin measurement)",,XXX,,False,False,False,False,True
0494T,"Surgical preparation and cannulation of marginal (extended) cadaver donor lung(s) to ex vivo organ perfusion system, including decannulation, separation from the perfusion system, and cold preservation of the allograft prior to implanta- tion, when performed",,XXX,,False,False,False,False,True
0495T,"Initiation and monitoring marginal (extended) cadaver donor lung(s) organ perfu- sion system by physician or qualified health care professional, including physio- logical and laboratory assessment (eg, pulmonary artery flow, pulmonary artery pressure, left atrial pressure, pulmonary vascular resistance, mean/peak and pla- teau airway pressure, dynamic compliance and perfusate gas analysis), including bronchoscopy and X ray when performed; first two hours in sterile field",,XXX,,False,False,False,False,True
0496T,"Initiation and monitoring marginal (extended) cadaver donor lung(s) organ perfu- sion system by physician or qualified health care professional, including physio- logical and laboratory assessment (eg, pulmonary artery flow, pulmonary artery pressure, left atrial pressure, pulmonary vascular resistance, mean/peak and pla- teau airway pressure, dynamic compliance and perfusate gas analysis), including bronchoscopy and X ray when performed; each additional hour (List separately in addition to code for primary procedure)",,ZZZ,,False,False,False,False,True
0497T,"External patient-activated, physician- or other qualified health care profes- sional-prescribed, electrocardiographic rhythm derived event recorder without 24 hour attended monitoring; in-office connection",1.78,XXX,,False,False,False,False,False
0498T,"External patient-activated, physician- or other qualified health care profes- sional-prescribed, electrocardiographic rhythm derived event recording without 24 hour attended monitoring; review and interpretation by a physician or other qualified health care professional per 30 days with at least one patient-generated triggered event",5.13,XXX,,False,False,False,False,False
0499T,"Cystourethroscopy, with mechanical dilation and urethral therapeutic drug deliv- ery for urethral stricture or stenosis, including fluoroscopy, when performed",2.27,000,,False,False,False,False,False
0500T,"Infectious agent detection by nucleic acid (DNA or RNA), human papillomavirus (HPV) for five or more separately reported high-risk HPV types (eg, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68) (ie, genotyping)",,XXX,,False,False,False,False,True
0501T,"Noninvasive estimated coronary fractional flow reserve (FFR) derived from coro- nary computed tomography angiography data using computation fluid dynamics physiologic simulation software analysis of functional data to assess the severity of coronary artery disease; data preparation and transmission, analysis of fluid dynamics and simulated maximal coronary hyperemia, generation of estimated FFR model, with anatomical data review in comparison with estimated FFR model to reconcile discordant data, interpretation and report",,XXX,,False,False,False,False,True
