,Code,Description,Relative Value,FUD
,99492,"Initial psychiatric collaborative care management, first 70 minutes in the first calendar month of behavioral health care manager activities, in consultation with a psychiatric con- sultant, and directed by the treating physician or other qualified health care professional, with the following required elements: outreach to and engagement in treatment of a patient directed by the treating physician or other qualified health care professional; initial assess- ment of the patient, including administration of validated rating scales, with the development of an individualized treatment plan; review by the psychiatric consultant with modifications of the plan if recommended; entering patient in a registry and tracking patient follow-up and progress using the registry, with appropriate documentation, and participation in weekly caseload consultation with the psychiatric consultant; and provision of brief interventions using evidence-based techniques such as behavioral activation, motivational interviewing, and other focused treatment strategies.",30.65,XXX
,99493,"S ubsequent psychiatric collaborative care management, first 60 minutes in a subsequent month of behavioral health care manager activities, in consultation with a psychiatric con- sultant, and directed by the treating physician or other qualified health care professional, with the following required elements: tracking patient follow-up and progress using the reg- istry, with appropriate documentation; participation in weekly caseload consultation with the psychiatric consultant; ongoing collaboration with and coordination of the patient's mental health care with the treating physician or other qualified health care professional and any other treating mental health providers; additional review of progress and recom- mendations for changes in treatment, as indicated, including medications, based on recom- mendations provided by the psychiatric consultant; provision of brief interventions using evidence-based techniques such as behavioral activation, motivational interviewing, and other focused treatment strategies; monitoring of patient outcomes using validated rating scales; and relapse prevention planning with patients as they achieve remission of symp- toms and/or other treatment goals and are prepared for discharge from active treatment.",24.49,XXX
 +,99494,"Initial or subsequent psychiatric collaborative care management, each additional 30 min- utes in a calendar month of behavioral health care manager activities, in consultation with a psychiatric consultant, and directed by the treating physician or other qualified health care professional (List separately in addition to code for primary procedure)",12.66,ZZZ
,99495,"Transitional C are Management S ervices with the following required elements: C ommunica- tion (direct contact, telephone, electronic) with the patient and/or caregiver within 2 busi- ness days of discharge Medical decision making of at least moderate complexity during the service period Face-to-face visit, within 14 calendar days of discharge",31.74,XXX
,99496,"Transitional C are Management S ervices with the following required elements: C ommunica- tion (direct contact, telephone, electronic) with the patient and/or caregiver within 2 busi- ness days of discharge Medical decision making of high complexity during the service period Face-to-face visit, within 7 calendar days of discharge",44.94,XXX
,99497,"Advance care planning including the explanation and discussion of advance directives such as standard forms (with completion of such forms, when performed), by the physician or other qualified health care professional; first 30 minutes, face-to-face with the patient, fam- ily member(s), and/or surrogate",16.35,XXX
 +,99498,"Advance care planning including the explanation and discussion of advance directives such as standard forms (with completion of such forms, when performed), by the physician or other qualified health care professional; each additional 30 minutes (List separately in addi- tion to code for primary procedure)",14.43,ZZZ
,99499,Unlisted evaluation and management service,BR,XXX
