Code,Description,Relative Value,FUD,PC/TC Split
 95027,"Intracutaneous (intradermal) tests, sequential and incremental, with allergenic extracts for airborne allergens, immediate type reaction, including test interpreta- tion and report, specify number of tests",0.72,XXX,
95028,"Intracutaneous (intradermal) tests with allergenic extracts, delayed type reaction, including reading, specify number of tests",1.23,XXX,
95044,Patch or application test(s) (specify number of tests),1.65,XXX,
95052,Photo patch test(s) (specify number of tests),2.2,XXX,
95056,Photo tests,0.59,XXX,
95060,Ophthalmic mucous membrane tests,2.54,XXX,
95065,Direct nasal mucous membrane test,2.11,XXX,
95070,"Inhalation bronchial challenge testing (not including necessary pulmonary func- tion tests); with histamine, methacholine, or similar compounds",16.91,XXX,
95071,"Inhalation bronchial challenge testing (not including necessary pulmonary func- tion tests); with antigens or gases, specify",16.91,XXX,
 95076,"Ingestion challenge test (sequential and incremental ingestion of test items, eg, food, drug or other substance); initial 120 minutes of testing",23.19,XXX,
 + 95079,"Ingestion challenge test (sequential and incremental ingestion of test items, eg, food, drug or other substance); each additional 60 minutes of testing (List sepa- rately in addition to code for primary procedure)",16.28,ZZZ,
95115,Professional services for allergen immunotherapy not including provision of aller- genic extracts; single injection,1.35,XXX,
95117,Professional services for allergen immunotherapy not including provision of aller- genic extracts; 2 or more injections,2.03,XXX,
 95120,"Professional services for allergen immunotherapy in the office or institution of the prescribing physician or other qualified health care professional, including provi- sion of allergenic extract; single injection",1.86,XXX,
 95125,"Professional services for allergen immunotherapy in the office or institution of the prescribing physician or other qualified health care professional, including provi- sion of allergenic extract; 2 or more injections",2.28,XXX,
 95130,"Professional services for allergen immunotherapy in the office or institution of the prescribing physician or other qualified health care professional, including provi- sion of allergenic extract; single stinging insect venom",3.21,XXX,
 95131,"Professional services for allergen immunotherapy in the office or institution of the prescribing physician or other qualified health care professional, including provi- sion of allergenic extract; 2 stinging insect venoms",4.06,XXX,
 95132,"Professional services for allergen immunotherapy in the office or institution of the prescribing physician or other qualified health care professional, including provi- sion of allergenic extract; 3 stinging insect venoms",4.9,XXX,
 95133,"Professional services for allergen immunotherapy in the office or institution of the prescribing physician or other qualified health care professional, including provi- sion of allergenic extract; 4 stinging insect venoms",5.92,XXX,
 95134,"Professional services for allergen immunotherapy in the office or institution of the prescribing physician or other qualified health care professional, including provi- sion of allergenic extract; 5 stinging insect venoms",7.1,XXX,
95144,"Professional services for the supervision of preparation and provision of antigens for allergen immunotherapy, single dose vial(s) (specify number of vials)",4.9,XXX,
95145,Professional services for the supervision of preparation and provision of antigens for allergen immunotherapy (specify number of doses); single stinging insect venom,3.72,XXX,
95146,Professional services for the supervision of preparation and provision of antigens for allergen immunotherapy (specify number of doses); 2 single stinging insect venoms,4.57,XXX,
95147,Professional services for the supervision of preparation and provision of antigens for allergen immunotherapy (specify number of doses); 3 single stinging insect,5.41,XXX,
