CODE,NY 2018 RVU,NY 2012 RVU,NY2018 FUD,NY2012 FUD,NY2018 PC/TC Split,NY2012 PC/TC Split
77002,2.81,2.81,ZZZ,XXX,34/66,34/66
99075,$450.00,$400.00,,,,
