,Code,Description,Relative Value,FUD
,99224,"S ubsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: Problem focused interval history; Prob- lem focused examination; Medical decision making that is straightforward or of low com- plexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is stable, recovering, or improv- ing. Typically, 15 minutes are spent at the bedside and on the patient's hospital floor or unit.",4.06,XXX
,99225,"S ubsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: An expanded problem focused interval history; An expanded problem focused examination; Medical decision making of moderate complexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the prob- lem(s) and the patient's and/or family's needs. Usually, the patient is responding inade- quately to therapy or has developed a minor complication. Typically, 25 minutes are spent at the bedside and on the patient's hospital floor or unit.",8.12,XXX
,99226,"S ubsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: A detailed interval history; A detailed examination; Medical decision making of high complexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are pro- vided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is unstable or has developed a significant complication or a significant new problem. Typically, 35 minutes are spent at the bedside and on the patient's hospital floor or unit.",11.33,XXX
,99231,"S ubsequent hospital care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: A problem focused interval history;A problem focused examination; Medical decision making that is straightforward or of low complexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is stable, recovering or improving. Typi- cally, 15 minutes are spent at the bedside and on the patient's hospital floor or unit.",7.44,XXX
,99232,"S ubsequent hospital care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: An expanded problem focused interval his- tory; An expanded problem focused examination; Medical decision making of moderate complexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the prob- lem(s) and the patient's and/or family's needs. Usually, the patient is responding inade- quately to therapy or has developed a minor complication. Typically, 25 minutes are spent at the bedside and on the patient's hospital floor or unit.",10.15,XXX
,99233,"S ubsequent hospital care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: A detailed interval history; A detailed exam- ination; Medical decision making of high complexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is unstable or has developed a significant complication or a significant new prob- lem. Typically, 35 minutes are spent at the bedside and on the patient's hospital floor or unit.",14.97,XXX
,99234,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key compo- nents: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforward or of low complexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of low severity. Typically, 40 minutes are spent at the bedside and on the patient's hospital floor or unit.",13.95,XXX
,99235,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key compo- nents: A comprehensive history; A comprehensive examination; and Medical decision mak- ing of moderate complexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of moderate severity. Typically, 50 minutes are spent at the bedside and on the patient's hospital floor or unit.",18.94,XXX
