CODE,NY2018 RVU,NY2012 RVU,NY 2018 FUD,NY 2012 FUD,NY2018 PC/TC Split,NY2012 PC/TC Split
97010,0.55,2.37,XXX,XXX,,
97750,0.00,5.41,XXX,XXX,,
99075,$350.00,$400.00,,,,
