,Code,Description,Relative Value,FUD,PC/TC Split
B,90281,"Immune globulin (Ig), human, for intramuscular use",BR,XXX,
B,90283,"Immune globulin (IgIV), human, for intravenous use",BR,XXX,
B,90284,"Immune globulin (SCIg), human, for use in subcutaneous infusions, 100 mg, each",BR,XXX,
B,90287,"Botulinum antitoxin, equine, any route",BR,XXX,
B,90288,"Botulism immune globulin, human, for intravenous use",BR,XXX,
B,90291,"Cytomegalovirus immune globulin (CMV-IgIV), human, for intravenous use",BR,XXX,
B,90296,"Diphtheria antitoxin, equine, any route",BR,XXX,
B,90371,"Hepatitis B immune globulin (HBIg), human, for intramuscular use",57.03,XXX,
B,90375,"Rabies immune globulin (RIg), human, for intramuscular and/or subcutaneous use",74.66,XXX,
B,90376,"Rabies immune globulin, heat-treated (RIg-HT), human, for intramuscular and/or subcutaneous use",74.66,XXX,
B,90378,"Respiratory syncytial virus, monoclonal antibody, recombinant, for intramuscular use, 50 mg, each",BR,XXX,
B,90384,"Rho(D) immune globulin (RhIg), human, full-dose, for intramuscular use",11.84,XXX,
B,90385,"Rho(D) immune globulin (RhIg), human, mini-dose, for intramuscular use",5.41,XXX,
B,90386,"Rho(D) immune globulin (RhIgIV), human, for intravenous use",12.68,XXX,
B,90389,"Tetanus immune globulin (TIg), human, for intramuscular use",6.55,XXX,
B,90393,"Vaccinia immune globulin, human, for intramuscular use",BR,XXX,
B,90396,"Varicella-zoster immune globulin, human, for intramuscular use",12.18,XXX,
B,90399,Unlisted immune globulin,BR,XXX,
,90460,"Immunization administration through 18 years of age via any route of administra- tion, with counseling by physician or other qualified health care professional; first or only component of each vaccine or toxoid administered",2.54,XXX,
+,90461,"Immunization administration through 18 years of age via any route of administra- tion, with counseling by physician or other qualified health care professional; each additional vaccine or toxoid component administered (List separately in addition to code for primary procedure)",1.52,ZZZ,
,90471,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections); 1 vaccine (single or combination vaccine/toxoid)",2.20,XXX,
+,90472,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections); each additional vaccine (single or combination vac- cine/toxoid) (List separately in addition to code for primary procedure)",2.20,ZZZ,
,90473,Immunization administration by intranasal or oral route; 1 vaccine (single or com- bination vaccine/toxoid),2.20,XXX,
+,90474,Immunization administration by intranasal or oral route; each additional vaccine (single or combination vaccine/toxoid) (List separately in addition to code for pri- mary procedure),2.20,ZZZ,
B,90476,"Adenovirus vaccine, type 4, live, for oral use",BR,XXX,
B,90477,"Adenovirus vaccine, type 7, live, for oral use",BR,XXX,
B,90581,"Anthrax vaccine, for subcutaneous or intramuscular use",14.08,XXX,
B,90585,"Bacillus Calmette-Guerin vaccine (BCG) for tuberculosis, live, for percutaneous use",16.28,XXX,
B,90586,"Bacillus Calmette-Guerin vaccine (BCG) for bladder cancer, live, for intravesical use",18.52,XXX,
B,90587,"Dengue vaccine, quadrivalent, live, 3 dose schedule, for subcutaneous use",BR,XXX,
B,90620,"Meningococcal recombinant protein and outer membrane vesicle vaccine, sero- group B (MenB-4C), 2 dose schedule, for intramuscular use",BR,XXX,
B,90621,"Meningococcal recombinant lipoprotein vaccine, serogroup B (MenB-FHbp), 2 or 3 dose schedule, for intramuscular use",BR,XXX,
B,90625,"Cholera vaccine, live, adult dosage, 1 dose schedule, for oral use",BR,XXX,
