23078,24077,24079,24160,24164,25077
25078,26117,26118,27049,27059,27280
27329,27364,27370,27615,27616,28046
28047,28289,28292,28296,28297,28298
28299,28890,31254,31255,31276,31575
31576,31577,31578,31579,31580,31584
31587,31645,31646,32551,32998,33215
33216,33217,33218,33220,33222,33223
33224,33225,33230,33231,33240,33241
33243,33244,33249,33262,33263,33264
33405,33406,33410,34812,34820,34833
34834,36140,36400,36405,36406,36410
36468,36470,36471,36476,36479,36516
37184,37185,37186,37192,37215,37216
37650,37660,38220,38221,38240,38241
38242,38760,43112,43200,43201,43202
43204,43205,43215,43216,43217,43220
43226,43227,43231,43232,43235,43236
43237,43238,43239,43240,43241,43242
43243,43244,43245,43246,43247,43248
43249,43250,43251,43255,43257,43259
43260,43263,43264,43265,43273,44360
44363,44380,44385,44386,44388,44390
44391,44392,44799,45330,45332,45333
45334,45337,45340,45378,45379,45380
45381,45382,45384,45385,45386,45391
45392,46600,47552,50387,52500,57240
57260,57265,59300,61055,62287,62290
62291,62370,64550,64561,64612,65778
65779,65800,65855,66180,66185,66740
67101,67105,67107,67108,67113,67227
67228,67399,67810,69210,72040,72050
72052,72080,74240,74241,74245,74246
74247,74250,74251,74340,75898,76000
76001,76376,76377,76881,76882,76885
76886,77002,77003,77071,77295,77401
77402,77407,77412,77417,77778,77789
78070,78264,80047,80048,80162,80164
80299,81210,81244,81245,81257,81275
81355,81371,81376,81400,81401,81402
81403,81404,81405,81406,81407,81408
82009 83015,82010 83018,82042 83704,82043 83789,82044 84112,82542 84600
86003,86005,86708,86709,86900,86901
86902,86904,86905,86906,87147,87197
87253,87301,87305,87320,87324,
87338,87339,87340,,87336,87327
87328,87329,87332,87335,,87337
87385,87389,87390,87341 87391,87350 87400,87380
,,,,,87420
87425,87427,87430,87449,87450,87451
87498,87501 87539,87521,87522,87535,87536
87538,88367,88342,88346,88360 90647,88361
88365 90649,90650,88368 90654,90644 90655,90656,90648 90657
,90660,90661,90698,90723,90734
90658,,,,,90876
90746,90748,90846,90847,90875,
90889 90953,90935 90954,90945 90955,90947 90956,90951 90957,90952 90958
,90960,,,,
90959,,90961,90962,91040,91065
