,Code,Description,Relative Value,FUD,PC/TC Split
B,90681,"Rotavirus vaccine, human, attenuated (RV1), 2 dose schedule, live, for oral use",7.61,XXX,
B,90682,"Influenza virus vaccine, quadrivalent (RIV4), derived from recombinant DNA, hem- agglutinin (HA) protein only, preservative and antibiotic free, for intramuscular use",8.82,XXX,
B,90685,"Influenza virus vaccine, quadrivalent (IIV4), split virus, preservative free, 0.25 mL, for intramuscular use",4.04,XXX,
B,90686,"Influenza virus vaccine, quadrivalent (IIV4), split virus, preservative free, 0.5 mL dosage, for intramuscular use",3.63,XXX,
B,90687,"Influenza virus vaccine, quadrivalent (IIV4), split virus, 0.25 mL dosage, for intra- muscular use",1.78,XXX,
B,90688,"Influenza virus vaccine, quadrivalent (IIV4), split virus, 0.5 mL dosage, for intra- muscular use",3.42,XXX,
B,90690,"Typhoid vaccine, live, oral",3.21,XXX,
B,90691,"Typhoid vaccine, Vi capsular polysaccharide (ViCPs), for intramuscular use",3.89,XXX,
B,90696,"Diphtheria, tetanus toxoids, acellular pertussis vaccine and inactivated poliovirus vaccine (DTaP-IPV), when administered to children 4 through 6 years of age, for intramuscular use",BR,XXX,
B,90697,"Diphtheria, tetanus toxoids, acellular pertussis vaccine, inactivated poliovirus vaccine, Haemophilus influenzae type b PRP-OMP conjugate vaccine, and hepati- tis B vaccine (DTaP-IPV-Hib-HepB), for intramuscular use",BR,XXX,
B,90698,"Diphtheria, tetanus toxoids, acellular pertussis vaccine, Haemophilus influenzae type b, and inactivated poliovirus vaccine, (DTaP-IPV/Hib), for intramuscular use",7.61,XXX,
B,90700,"Diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP), when adminis- tered to individuals younger than 7 years, for intramuscular use",2.96,XXX,
B,90702,"Diphtheria and tetanus toxoids adsorbed (DT) when administered to individuals younger than 7 years, for intramuscular use",1.40,XXX,
B,90707,"Measles, mumps and rubella virus vaccine (MMR), live, for subcutaneous use",4.86,XXX,
B,90710,"Measles, mumps, rubella, and varicella vaccine (MMRV), live, for subcutaneous use",13.53,XXX,
B,90713,"Poliovirus vaccine, inactivated (IPV), for subcutaneous or intramuscular use",3.38,XXX,
B,90714,"Tetanus and diphtheria toxoids adsorbed (Td), preservative free, when adminis- tered to individuals 7 years or older, for intramuscular use",2.54,XXX,
B,90715,"Tetanus, diphtheria toxoids and acellular pertussis vaccine (Tdap), when adminis- tered to individuals 7 years or older, for intramuscular use",2.28,XXX,
B,90716,"Varicella virus vaccine (VAR), live, for subcutaneous use",5.79,XXX,
B,90717,"Yellow fever vaccine, live, for subcutaneous use",6.64,XXX,
B,90723,"Diphtheria, tetanus toxoids, acellular pertussis vaccine, hepatitis B, and inacti- vated poliovirus vaccine (DTaP-HepB-IPV), for intramuscular use",7.44,XXX,
B,90732,"Pneumococcal polysaccharide vaccine, 23-valent (PPSV23), adult or immunosup- pressed patient dosage, when administered to individuals 2 years or older, for sub- cutaneous or intramuscular use",2.41,XXX,
B,90733,"Meningococcal polysaccharide vaccine, serogroups A, C, Y, W-135, quadrivalent (MPSV4), for subcutaneous use",10.10,XXX,
B,90734,"Meningococcal conjugate vaccine, serogroups A, C, Y and W-135, quadrivalent (MCV4 or MenACWY), for intramuscular use",9.64,XXX,
B,90736,"Zoster (shingles) vaccine (HZV), live, for subcutaneous injection",16.23,XXX,
B,90738,"Japanese encephalitis virus vaccine, inactivated, for intramuscular use",6.71,XXX,
B,90739,"Hepatitis B vaccine (HepB), adult dosage, 2 dose schedule, for intramuscular use",24.90,XXX,
B,,"Hepatitis B vaccine (HepB), adolescent, 2 dose schedule, for intramuscular",,,
,90743,use,2.71,XXX,
B,90744,"Hepatitis B vaccine (HepB), pediatric/adolescent dosage, 3 dose schedule, for intramuscular use",2.71,XXX,
B,90746,"Hepatitis B vaccine (HepB), adult dosage, 3 dose schedule, for intramuscular use",5.50,XXX,
