Code,Description,Relative Value,FUD,PC/TC Split
 + 0439T,"Myocardial contrast perfusion echocardiography, at rest or with stress, for assessment of myocardial ischemia or viability (List separately in addition to code for primary procedure)",BR,ZZZ,
 0440T,"Ablation, percutaneous, cryoablation, includes imaging guidance; upper extremity distal/peripheral nerve",BR,YYY,
 0441T,"Ablation, percutaneous, cryoablation, includes imaging guidance; lower extremity distal/peripheral nerve",BR,YYY,
 0442T,"Ablation, percutaneous, cryoablation, includes imaging guidance; nerve plexus or other truncal nerve (eg, brachial plexus, pudendal nerve)",BR,YYY,
 + 0443T,"Real-time spectral analysis of prostate tissue by fluorescence spectroscopy, including imaging guidance (List separately in addition to code for primary proce- dure)",BR,ZZZ,
 0444T,"Initial placement of a drug-eluting ocular insert under one or more eyelids, includ- ing fitting, training, and insertion, unilateral or bilateral",BR,YYY,
 0445T,"Subsequent placement of a drug-eluting ocular insert under one or more eyelids, including re-training, and removal of existing insert, unilateral or bilateral",BR,YYY,
 0446T,"Creation of subcutaneous pocket with insertion of implantable interstitial glucose sensor, including system activation and patient training",BR,YYY,
 0447T,Removal of implantable interstitial glucose sensor from subcutaneous pocket via incision,BR,YYY,
 0448T,"Removal of implantable interstitial glucose sensor with creation of subcutaneous pocket at different anatomic site and insertion of new implantable sensor, includ- ing system activation",BR,YYY,
 0449T,"Insertion of aqueous drainage device, without extraocular reservoir, internal approach, into the subconjunctival space; initial device",BR,YYY,
 + 0450T,"Insertion of aqueous drainage device, without extraocular reservoir, internal approach, into the subconjunctival space; each additional device (List separately in addition to code for primary procedure)",BR,YYY,
 0451T,"Insertion or replacement of a permanently implantable aortic counterpulsation ventricular assist system, endovascular approach, and programming of sensing and therapeutic parameters; complete system (counterpulsation device, vascular graft, implantable vascular hemostatic seal, mechano-electrical skin interface and subcutaneous electrodes)",BR,YYY,
 0452T,"Insertion or replacement of a permanently implantable aortic counterpulsation ventricular assist system, endovascular approach, and programming of sensing and therapeutic parameters; aortic counterpulsation device and vascular hemo- static seal",BR,YYY,
 0453T,"Insertion or replacement of a permanently implantable aortic counterpulsation ventricular assist system, endovascular approach, and programming of sensing and therapeutic parameters; mechano-electrical skin interface",BR,YYY,
 0454T,"Insertion or replacement of a permanently implantable aortic counterpulsation ventricular assist system, endovascular approach, and programming of sensing and therapeutic parameters; subcutaneous electrode",BR,YYY,
 0455T,"Removal of permanently implantable aortic counterpulsation ventricular assist system; complete system (aortic counterpulsation device, vascular hemostatic seal, mechano-electrical skin interface and electrodes)",BR,YYY,
 0456T,Removal of permanently implantable aortic counterpulsation ventricular assist system; aortic counterpulsation device and vascular hemostatic seal,BR,YYY,
 0457T,Removal of permanently implantable aortic counterpulsation ventricular assist system; mechano-electrical skin interface,BR,YYY,
 0458T,Removal of permanently implantable aortic counterpulsation ventricular assist system; subcutaneous electrode,BR,YYY,
 0459T,"Relocation of skin pocket with replacement of implanted aortic counterpulsation ventricular assist device, mechano-electrical skin interface and electrodes",BR,YYY,
 0460T,Repositioning of previously implanted aortic counterpulsation ventricular assist device; subcutaneous electrode,BR,YYY,
 0461T,Repositioning of previously implanted aortic counterpulsation ventricular assist device; aortic counterpulsation device,BR,YYY,
