Code,Description,Relative Value,FUD,PC/TC Split
 0254T,"Endovascular repair of iliac artery bifurcation (eg, aneurysm, pseudoaneurysm, arteriovenous malformation, trauma, dissection) using bifurcated endograft from the common iliac artery into both the external and internal iliac artery, including all selective and/or nonselective catheterization(s) required for device placement and all associated radiological supervision and interpretation, unilateral",7.74,YYY,
 0263T,"Intramuscular autologous bone marrow cell therapy, with preparation of har- vested cells, multiple injections, one leg, including ultrasound guidance, if per- formed; complete procedure including unilateral or bilateral bone marrow harvest",2.67,XXX,
 0264T,"Intramuscular autologous bone marrow cell therapy, with preparation of har- vested cells, multiple injections, one leg, including ultrasound guidance, if per- formed; complete procedure excluding bone marrow harvest",1.19,XXX,
 0265T,"Intramuscular autologous bone marrow cell therapy, with preparation of har- vested cells, multiple injections, one leg, including ultrasound guidance, if per- formed; unilateral or bilateral bone marrow harvest only for intramuscular autologous bone marrow cell therapy",0.19,XXX,
0266T,"Implantation or replacement of carotid sinus baroreflex activation device; total system (includes generator placement, unilateral or bilateral lead placement, intra-operative interrogation, programming, and repositioning, when performed)",BR,YYY,
0267T,"Implantation or replacement of carotid sinus baroreflex activation device; lead only, unilateral (includes intra-operative interrogation, programming, and reposi- tioning, when performed)",BR,YYY,
0268T,"Implantation or replacement of carotid sinus baroreflex activation device; pulse generator only (includes intra-operative interrogation, programming, and reposi- tioning, when performed)",BR,YYY,
0269T,"Revision or removal of carotid sinus baroreflex activation device; total system (includes generator placement, unilateral or bilateral lead placement, intra-opera- tive interrogation, programming, and repositioning, when performed)",BR,XXX,
0270T,"Revision or removal of carotid sinus baroreflex activation device; lead only, unilat- eral (includes intra-operative interrogation, programming, and repositioning,when performed)",BR,XXX,
0271T,"Revision or removal of carotid sinus baroreflex activation device; pulse generator only (includes intra-operative interrogation, programming, and repositioning, when performed)",BR,XXX,
0272T,"Interrogation device evaluation (in person), carotid sinus baroreflex activation system, including telemetric iterative communication with the implantable device to monitor device diagnostics and programmed therapy values, with interpretation and report (eg, battery status, lead impedance, pulse amplitude, pulse width, ther- apy frequency, pathway mode, burst mode, therapy start/stop times each day);",BR,XXX,
0273T,"Interrogation device evaluation (in person), carotid sinus baroreflex activation system, including telemetric iterative communication with the implantable device to monitor device diagnostics and programmed therapy values, with interpretation and report (eg, battery status, lead impedance, pulse amplitude, pulse width, ther- apy frequency, pathway mode, burst mode, therapy start/stop times each day); with programming",BR,XXX,
 0274T,"Percutaneous laminotomy/laminectomy (interlaminar approach) for decompres- sion of neural elements, (with or without ligamentous resection, discectomy, face- tectomy and/or foraminotomy), any method, under indirect image guidance (eg, fluoroscopic, CT), single or multiple levels, unilateral or bilateral; cervical or tho- racic",BR,YYY,
 0275T,"Percutaneous laminotomy/laminectomy (interlaminar approach) for decompres- sion of neural elements, (with or without ligamentous resection, discectomy, face- tectomy and/or foraminotomy), any method, under indirect image guidance (eg, fluoroscopic, CT), single or multiple levels, unilateral or bilateral; lumbar",BR,XXX,
0278T,"Transcutaneous electrical modulation pain reprocessing (eg, scrambler therapy), each treatment session (includes placement of electrodes)",BR,XXX,
+ 0290T,"Corneal incisions in the recipient cornea created using a laser, in preparation for penetrating or lamellar keratoplasty (List separately in addition to code for primary",BR,ZZZ,
