,Code,Description,Relative Value,FUD
,99253,"Inpatient consultation for a new or established patient, which requires these 3 key compo- nents: A detailed history; A detailed examination; and Medical decision making of low com- plexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity. Typically, 55 minutes are spent at the bedside and on the patient's hospital floor or unit.",18.94,XXX
,99254,"Inpatient consultation for a new or established patient, which requires these 3 key compo- nents: A comprehensive history; A comprehensive examination; and Medical decision mak- ing of moderate complexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 80 minutes are spent at the bedside and on the patient's hospital floor or unit.",23.67,XXX
,99255,"Inpatient consultation for a new or established patient, which requires these 3 key compo- nents: A comprehensive history; A comprehensive examination; and Medical decision mak- ing of high complexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 110 minutes are spent at the bedside and on the patient's hospital floor or unit.",29.76,XXX
,99281,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and S traightforward medical decision making. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the pre- senting problem(s) are self limited or minor.",6.59,XXX
,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",8.88,XXX
,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",13.36,XXX
,99284,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. C ounseling and/or coordination of care with other physi- cians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.",19.95,XXX
,99285,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components within the constraints imposed by the urgency of the patient's clin- ical condition and/or mental status: A comprehensive history; A comprehensive examina- tion; and Medical decision making of high complexity. C ounseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are pro- vided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity and pose an immediate significant threat to life or physiologic function.",29.76,XXX
,99288,"Physician or other qualified health care professional direction of emergency medical sys- tems (EM S ) emergency care, advanced life support",14,XXX
,99291,"C ritical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",33.82,XXX
+,99292,"C ritical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)",16.91,ZZZ
