,Code,Description,Relative Value,FUD,PC/TC Split
,0484T,"Transcatheter mitral valve implantation/replacement (TMVI) with prosthetic valve; transthoracic exposure (eg, thoracotomy, transapical)",16.69,000,
,0485T,"Optical coherence tomography (OCT) of middle ear, with interpretation and report; unilateral",BR,XXX,
,0486T,"Optical coherence tomography (OCT) of middle ear, with interpretation and report; bilateral",BR,XXX,
,0487T,"Biomechanical mapping, transvaginal, with report",0.76,XXX,
,0488T,"Preventive behavior change, online/electronic structured intensive program for prevention of diabetes using a standardized diabetes prevention program curricu- lum, provided to an individual, per 30 days",BR,XXX,
,0489T,"Autologous adipose-derived regenerative cell therapy for scleroderma in the hands; adipose tissue harvesting, isolation and preparation of harvested cells including incubation with cell dissociation enzymes, removal of non-viable cells and debris, determination of concentration and dilution of regenerative cells",BR,000,
,0490T,Autologous adipose-derived regenerative cell therapy for scleroderma in the hands; multiple injections in one or both hands,BR,000,
,0491T,"Ablative laser treatment, non-contact, full field and fractional ablation, open wound, per day, total treatment surface area; first 20 sq cm or less",0.05,000,
 +,0492T,"Ablative laser treatment, non-contact, full field and fractional ablation, open wound, per day, total treatment surface area; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)",0.05,ZZZ,
,0493T,"Near-infrared spectroscopy studies of lower extremity wounds (eg, for oxyhemo- globin measurement)",BR,XXX,
,0494T,"Surgical preparation and cannulation of marginal (extended) cadaver donor lung(s) to ex vivo organ perfusion system, including decannulation, separation from the perfusion system, and cold preservation of the allograft prior to implanta- tion, when performed",BR,XXX,
,0495T,"Initiation and monitoring marginal (extended) cadaver donor lung(s) organ perfu- sion system by physician or qualified health care professional, including physio- logical and laboratory assessment (eg, pulmonary artery flow, pulmonary artery pressure, left atrial pressure, pulmonary vascular resistance, mean/peak and pla- teau airway pressure, dynamic compliance and perfusate gas analysis), including bronchoscopy and X ray when performed; first two hours in sterile field",BR,XXX,
 +,0496T,"Initiation and monitoring marginal (extended) cadaver donor lung(s) organ perfu- sion system by physician or qualified health care professional, including physio- logical and laboratory assessment (eg, pulmonary artery flow, pulmonary artery pressure, left atrial pressure, pulmonary vascular resistance, mean/peak and pla- teau airway pressure, dynamic compliance and perfusate gas analysis), including bronchoscopy and X ray when performed; each additional hour (List separately in addition to code for primary procedure)",BR,ZZZ,
,0497T,"External patient-activated, physician- or other qualified health care profes- sional-prescribed, electrocardiographic rhythm derived event recorder without 24 hour attended monitoring; in-office connection",1.78,XXX,
,0498T,"External patient-activated, physician- or other qualified health care profes- sional-prescribed, electrocardiographic rhythm derived event recording without 24 hour attended monitoring; review and interpretation by a physician or other qualified health care professional per 30 days with at least one patient-generated triggered event",5.13,XXX,
,0499T,"Cystourethroscopy, with mechanical dilation and urethral therapeutic drug deliv- ery for urethral stricture or stenosis, including fluoroscopy, when performed",2.27,000,
,0500T,"Infectious agent detection by nucleic acid (DNA or RNA), human papillomavirus (HPV) for five or more separately reported high-risk HPV types (eg, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68) (ie, genotyping)",BR,XXX,
,0501T,"Noninvasive estimated coronary fractional flow reserve (FFR) derived from coro- nary computed tomography angiography data using computation fluid dynamics physiologic simulation software analysis of functional data to assess the severity of coronary artery disease; data preparation and transmission, analysis of fluid dynamics and simulated maximal coronary hyperemia, generation of estimated FFR model, with anatomical data review in comparison with estimated FFR model to reconcile discordant data, interpretation and report",BR,XXX,
