Code,Description,Relative Value,FUD,PC/TC Split
90882,"Environmental intervention for medical management purposes on a psychiatric patient's behalf with agencies, employers, or institutions",13.36,XXX,
90885,"Psychiatric evaluation of hospital records, other psychiatric reports, psychometric and/or projective tests, and other accumulated data for medical diagnostic pur- poses",8.93,XXX,
90887,"Interpretation or explanation of results of psychiatric, other medical examinations and procedures, or other accumulated data to family or other responsible per- sons, or advising them how to assist patient",13.72,XXX,
90889,"Preparation of report of patient's psychiatric status, history, treatment, or prog- ress (other than for legal or consultative purposes) for other individuals, agencies, or insurance carriers",NC,XXX,
90899,Unlisted psychiatric service or procedure,BR,XXX,
90901,Biofeedback training by any modality,9.81,000,
90911,"Biofeedback training, perineal muscles, anorectal or urethral sphincter, including EMG and/or manometry",16.91,000,
90935,Hemodialysis procedure with single evaluation by a physician or other qualified health care professional,28.75,000,
90937,Hemodialysis procedure requiring repeated evaluation(s) with or without substan- tial revision of dialysis prescription,45.66,000,
90940,Hemodialysis access flow study to determine blood flow in grafts and arteriove- nous fistulae by an indicator method,11.84,XXX,40/60
90945,"Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies), with single evaluation by a phy- sician or other qualified health care professional",16.91,000,
90947,"Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies) requiring repeated evaluations by a physician or other qualified health care professional, with or without substan- tial revision of dialysis prescription",27.06,000,
90951,"End-stage renal disease (ESRD) related services monthly, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assess- ment of growth and development, and counseling of parents; with 4 or more face-to-face visits by a physician or other qualified health care professional per month",126.83,XXX,
90952,"End-stage renal disease (ESRD) related services monthly, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assess- ment of growth and development, and counseling of parents; with 2-3 face-to-face visits by a physician or other qualified health care professional per month",101.46,XXX,
90953,"End-stage renal disease (ESRD) related services monthly, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assess- ment of growth and development, and counseling of parents; with 1 face-to-face visit by a physician or other qualified health care professional per month",67.64,XXX,
90954,"End-stage renal disease (ESRD) related services monthly, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 4 or more face-to-face visits by a physician or other qualified health care professional per month",107.38,XXX,
90955,"End-stage renal disease (ESRD) related services monthly, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 2-3 face-to-face visits by a phy- sician or other qualified health care professional per month",60.03,XXX,
90956,"End-stage renal disease (ESRD) related services monthly, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 1 face-to-face visit by a physi- cian or other qualified health care professional per month",42.28,XXX,
90957,"End-stage renal disease (ESRD) related services monthly, for patients 12-19 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 4 or more face-to-face visits by a physician or other qualified health care professional per month",84.55,XXX,
