,Code,Description,Relative Value,FUD,PC/TC Split
,87305,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Aspergillus",19.72,XXX,0/100
,87320,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Chlamydia trachomatis",13.55,XXX,0/100
,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",13.55,XXX,0/100
,87327,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Cryptococcus neoformans",13.55,XXX,0/100
,87328,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; cryptosporidium",13.55,XXX,0/100
,87329,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; giardia",13.55,XXX,0/100
,87332,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; cytomegalovirus",13.55,XXX,0/100
,87335,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Escherichia coli 0157",13.55,XXX,0/100
,87336,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Entamoeba histolytica dispar group",13.55,XXX,0/100
,87337,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Entamoeba histolytica group",13.55,XXX,0/100
,87338,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Helicobacter pylori, stool",19.72,XXX,0/100
,87339,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Helicobacter pylori",13.55,XXX,0/100
,87340,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; hepatitis B surface antigen (HBsAg)",17.87,XXX,0/100
,87341,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; hepatitis B surface antigen (HBsAg) neutralization",13.55,XXX,0/100
,87350,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; hepatitis Be antigen (HBeAg)",20.95,XXX,0/100
