,Code,Description,Relative Value,FUD,PC/TC Split
,81111,"Human Platelet Antigen 9 genotyping (HPA-9w), ITGA2B (integrin, alpha 2b [plate- let glycoprotein IIb of IIb/IIIa complex, antigen CD41] [GPIIb]) (eg, neonatal alloim- mune thrombocytopenia [NAIT], post-transfusion purpura), gene analysis, common variant, HPA-9a/b (V837M)",135.42,XXX,0/100
,"81112 Human Platelet natal alloimmune ysis, common variant,","Antigen 15 genotyping (HPA-15), CD109 (CD109 molecule) (eg, neo- thrombocytopenia [NAIT], post-transfusion purpura), gene anal- HPA-15a/b (S682Y)",135.42,XXX,0/100
 81120,"IDH1 (isocitrate dehydrogenase 1 [NADP+], soluble) (eg, glioma), (eg, R132H, R132C)",commonvariants,173.56,XXX,0/100
 81121,"IDH2 (isocitrate dehydrogenase 2 [NADP+], mitochondrial) (eg, glioma), common variants (eg, R140W, R172M)",265.67,,XXX,0/100
 81161,"DMD(dystrophin) (eg, Duchenne/Becker muscular dystrophy) deletion analysis, and duplication analysis, if performed",250.48,,XXX,0/100
 81162,"BRCA1, BRCA2 (breast cancer 1 and 2) (eg, hereditary breast and ovarian cancer) gene analysis; full sequence analysis and full duplication/deletion analysis",2022.59,,XXX,0/100
 81170,"ABL1 (ABL proto-oncogene 1, non-receptor tyrosine kinase) (eg, acquired imatinib tyrosine kinase inhibitor resistance), gene analysis, variants in the kinase domain",,269.23,XXX,0/100
 81175,"ASXL1 (additional sex combs like 1, transcriptional regulator) (eg, myelodysplastic syndrome, myeloproliferative neoplasms, chronic myelomonocytic leukemia), gene analysis; full gene sequence",634.77,,XXX,0/100
 81176,"ASXL1 (additional sex combs like 1, transcriptional regulator) (eg, myelodysplastic syndrome, myeloproliferative neoplasms, chronic myelomonocytic leukemia), gene analysis; targeted sequence analysis (eg, exon 12)",268.26,,XXX,0/100
81200,"ASPA (aspartoacylase) (eg, Canavan disease) gene analysis, common variants (eg, E285A, Y231X)",0.00,,XXX,
 81201,"APC (adenomatous polyposis coli) (eg, familial adenomatosis polyposis [FAP], attenuated FAP) gene analysis; full gene sequence",,0.00,XXX,0/100
 81202,"APC (adenomatous polyposis coli) (eg, familial adenomatosis polyposis [FAP], attenuated FAP) gene analysis; known familial variants",0.00,,XXX,0/100
 81203,"APC (adenomatous polyposis coli) (eg, familial adenomatosis polyposis [FAP], attenuated FAP) gene analysis; duplication/deletion variants",,0.00,XXX,0/100
81205,"BCKDHB (branched-chain keto acid dehydrogenase E1, beta polypeptide) (eg, maple syrup urine disease) gene analysis, common variants (eg, R183P, G278S, E422X)",,0.00,XXX,
81206,"BCR/ABL1 (t(9;22)) (eg, chronic myelogenous leukemia) translocation analysis; major breakpoint, qualitative or quantitative",0.00,,XXX,
81207,"BCR/ABL1 (t(9;22)) (eg, chronic myelogenous leukemia) translocation analysis; minor breakpoint, qualitative or quantitative",,0.00,XXX,
81208,"BCR/ABL1 (t(9;22)) (eg, chronic myelogenous leukemia) translocation analysis; other breakpoint, qualitative or quantitative",,0.00,XXX,
81209,"BLM (Bloom syndrome, RecQ helicase-like) (eg, Bloom syndrome) gene analysis, 2281del6ins7 variant",0.00,,XXX,
 81210,"BRAF (B-Raf proto-oncogene, serine/threonine kinase) (eg, colon cancer, mela- noma), gene analysis, V600 variant(s)",0.00,,XXX,
81211,"BRCA1, BRCA2 (breast cancer 1 and 2) (eg, hereditary breast and ovarian cancer) gene analysis; full sequence analysis andcommon duplication/deletion variants in BRCA1 (ie, exon 13 del 3.835kb, exon 13 dup 6kb, exon 14-20 del 26kb, exon 22 del 510bp, exon 8-9 del 7.1kb)",,0.00,XXX,
81212,"BRCA1, BRCA2 (breast cancer 1 and 2) (eg, hereditary breast and ovarian cancer) gene analysis; 185delAG, 5385insC, 6174delT variants",0.00,,XXX,
81213,"BRCA1, BRCA2 (breast cancer 1 and 2) (eg, hereditary breast and ovarian cancer) gene analysis; uncommon duplication/deletion variants",0.00,,XXX,
81214,"BRCA1(breast cancer 1) (eg, hereditary breast and ovarian cancer) gene analysis; full sequence analysis and common duplication/deletion variants (ie, exon 13 del 3.835kb, exon 13 dup 6kb, exon 14-20 del 26kb, exon 22 del 510bp, exon 8-9 del 7.1kb)",,0.00,XXX,
81215,"BRCA1(breast cancer 1) (eg, hereditary breast and ovarian cancer) gene analysis; known familial variant",0.00,,XXX,
