file	pages
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-3459.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-5275.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-7610.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-7643.pdf	22
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-9271.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-9279.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-9288.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-9295.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-9308.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-9309.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-9319.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1382-0809.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1382-2335.pdf	34
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1382-5519.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1382-5525.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1382-5560.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1382-5574.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1382-5577.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1382-5585.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1382-9129.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1383-0693.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1383-0719.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1383-5381.pdf	23
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1383-5922.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1383-5934.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1383-5979.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1383-9747.pdf	27
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1384-0108.pdf	23
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1384-0117.pdf	23
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1384-4535.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1384-9166.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1385-1357.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1385-1359.pdf	24
